# data/predictors/_/HBSe_20161221T010133.prd:
# className='', T=38265, P=36
k1,k2,k3
-0.13743,0.321453,-0.112715
-0.103927,0.320109,-0.137698
-0.136486,0.322977,-0.0785831
-0.160965,0.327485,-0.147224
-0.127233,0.264571,-0.181007
-0.144313,0.370183,-0.135964
-0.0980965,0.411245,-0.101035
-0.170011,0.366233,-0.109115
-0.15138,0.335545,-0.0856248
-0.144352,0.369227,-0.0793722
-0.156918,0.361089,-0.100937
-0.152579,0.372709,-0.12314
-0.104575,0.344273,-0.0937839
-0.205343,0.308431,-0.118267
-0.186514,0.323342,-0.132043
-0.131651,0.261329,-0.143187
-0.139888,0.342518,-0.0710964
-0.108253,0.350853,-0.0851715
-0.124123,0.342402,-0.0868325
-0.142431,0.360841,-0.0784355
-0.0921581,0.316537,-0.134293
-0.142267,0.332575,-0.10075
-0.190265,0.349801,-0.134164
-0.167651,0.350459,-0.132954
-0.179787,0.370756,-0.1266
-0.163212,0.314719,-0.134586
-0.166919,0.329234,-0.11602
-0.122675,0.332236,-0.128956
-0.132169,0.336923,-0.0965637
-0.125716,0.364943,-0.0617918
-0.120491,0.330096,-0.137316
-0.14572,0.327017,-0.122536
-0.124441,0.359661,-0.124891
-0.112069,0.323053,-0.157158
-0.124494,0.372447,-0.111616
-0.165193,0.380512,-0.124224
-0.148287,0.348572,-0.089666
-0.186412,0.324661,-0.102766
-0.14828,0.345856,-0.118424
-0.12126,0.349364,-0.108791
-0.15174,0.322306,-0.145534
-0.151531,0.319341,-0.147829
-0.14569,0.353326,-0.131307
-0.142438,0.333205,-0.0929356
-0.134533,0.388418,-0.0889806
-0.106316,0.304973,-0.0854878
-0.170812,0.338206,-0.157466
-0.195331,0.321293,-0.100414
-0.150985,0.383753,-0.0834482
-0.15989,0.382906,-0.109905
-0.138334,0.355855,-0.12879
-0.111348,0.323799,-0.125149
-0.10813,0.370113,-0.107042
-0.0995531,0.34597,-0.111258
-0.176972,0.347127,-0.092481
-0.164423,0.337169,-0.0989592
-0.181045,0.316324,-0.127015
-0.216084,0.349488,-0.0737907
-0.172385,0.336627,-0.102451
-0.0762367,0.301993,-0.123921
-0.0787286,0.33281,-0.119278
-0.163551,0.326349,-0.103324
-0.159552,0.335027,-0.124535
-0.12952,0.373794,-0.132862
-0.134154,0.341677,-0.125257
-0.138143,0.324002,-0.0970336
-0.129688,0.345256,-0.121816
-0.107575,0.314011,-0.119287
-0.163461,0.285483,-0.116802
-0.101723,0.322349,-0.160055
-0.11349,0.343092,-0.114968
-0.15353,0.328452,-0.128577
-0.127416,0.363638,-0.099413
-0.122073,0.394448,-0.0766788
-0.0953075,0.35835,-0.0815863
-0.101995,0.290365,-0.110603
-0.0696684,0.316036,-0.154493
-0.12731,0.296543,-0.0984782
-0.147052,0.353174,-0.109202
-0.0894921,0.312182,-0.158346
-0.11859,0.299679,-0.162055
-0.123938,0.320829,-0.135446
-0.126222,0.271092,-0.0784031
-0.119148,0.296501,-0.133232
-0.127057,0.35394,-0.14546
-0.162496,0.334736,-0.152026
-0.14394,0.309238,-0.143746
-0.0926745,0.357702,-0.165558
-0.171607,0.394859,-0.0985059
-0.174954,0.361022,-0.0884136
-0.131537,0.300932,-0.134684
-0.131731,0.337739,-0.182502
-0.150068,0.333548,-0.0705016
-0.129728,0.366275,-0.137693
-0.129464,0.339297,-0.153938
-0.156019,0.329359,-0.209466
-0.169622,0.290926,-0.150042
-0.0764939,0.305523,-0.127313
-0.0728686,0.314002,-0.143486
-0.118933,0.31176,-0.063587
-0.145871,0.266973,-0.0899005
-0.154273,0.270303,-0.13685
-0.137083,0.30465,-0.0932364
-0.146003,0.330186,-0.0949282
-0.167525,0.352923,-0.069247
-0.212857,0.322997,-0.102759
-0.180945,0.352029,-0.14906
-0.202324,0.35157,-0.151485
-0.223721,0.328334,-0.17553
-0.413068,0.159889,-0.268355
-0.551678,0.0580153,-0.257583
-0.586059,0.0704594,-0.202776
-0.637812,0.142236,-0.1205
-0.579554,0.24721,-0.0462137
