# 77034 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,7,0.255785,1.587956,143107.263731
4,9,0.211432,2.192094,125029.021765
8,27,0.164426,5.526398,109486.976613
16,16,0.140328,7.775847,103058.072623
32,13,0.116596,11.300068,97311.543605
64,15,0.101224,14.506913,94083.550532
128,16,0.090683,17.409458,92055.505677
256,15,0.082132,20.192721,90490.788718
512,16,0.074236,23.523729,89079.286266
1024,16,0.066392,27.985164,87714.217618
2048,13,0.059158,32.833571,86486.074742
