# data/codebooks/_/eps_0.0005_M_1024.cbook:
# P=36  size=1024  className='_'
k1,k2,k3
-0.75043,-0.0896098,-0.400851
-0.710327,0.00448893,-0.360048
-0.638822,-0.0659681,-0.403244
-0.639915,-0.0315254,-0.375399
-0.755976,-0.0525686,-0.340661
-0.742265,0.013644,-0.307121
-0.66538,0.0258647,-0.276359
-0.711599,0.00981831,-0.291989
-0.480722,0.0375531,-0.362602
-0.509457,0.0738102,-0.296465
-0.506004,0.078456,-0.297828
-0.510541,0.142696,-0.392573
-0.68874,0.0343586,-0.306928
-0.596837,0.157531,-0.273312
-0.675529,0.0238571,-0.288499
-0.710609,0.0416145,-0.273824
-0.730078,0.0769308,-0.265019
-0.754893,0.140972,-0.182207
-0.784834,0.180005,-0.178576
-0.788751,0.131624,-0.177005
-0.741527,0.0411064,-0.277121
-0.698803,0.153626,-0.202683
-0.743883,0.280786,-0.0985712
-0.814798,0.181264,-0.103144
-0.675406,0.124661,-0.282566
-0.657292,0.253884,-0.24662
-0.693574,0.288902,-0.133326
-0.749027,0.245299,-0.172045
-0.711984,0.415611,-0.0940244
-0.662369,0.463141,-0.124923
-0.743966,0.421113,-0.0572053
-0.756972,0.388225,-0.0760381
-0.412571,0.104894,-0.342125
-0.500456,0.0243524,-0.371201
-0.271667,0.257463,-0.249929
-0.257581,0.329596,-0.293801
-0.194925,0.336413,-0.191944
-0.211799,0.374949,-0.116376
-0.247615,0.331135,-0.12779
-0.331842,0.30236,-0.152998
-0.302581,0.183724,-0.25779
-0.335781,0.143246,-0.294927
-0.243884,0.223578,-0.217544
-0.250615,0.327951,-0.238556
-0.274748,0.18267,-0.254835
-0.397836,0.110501,-0.311
-0.38162,0.131221,-0.288562
-0.442221,0.195378,-0.215254
-0.505994,0.0532924,-0.34123
-0.572573,-0.00390533,-0.37968
-0.506901,0.108549,-0.280786
-0.554443,0.069371,-0.285763
-0.616772,-0.00696715,-0.341039
-0.701392,-0.0100185,-0.310887
-0.658199,0.099287,-0.274002
-0.633536,0.103874,-0.222611
-0.635853,0.278136,-0.185543
-0.707356,0.237656,-0.146896
-0.769193,0.148309,-0.170102
-0.717859,0.150258,-0.157491
-0.565427,0.3664,-0.141329
-0.649395,0.35658,-0.154828
-0.725666,0.292663,-0.112763
-0.81812,0.256406,-0.102962
-0.32603,0.27305,-0.12266
-0.382813,0.215443,-0.176016
-0.420646,0.270061,-0.141151
-0.383892,0.29044,-0.136376
-0.425794,0.166112,-0.19572
-0.448641,0.224236,-0.154647
-0.438283,0.270576,-0.255199
-0.463753,0.308111,-0.167202
-0.381977,0.277602,0.038306
-0.317773,0.334705,-0.194022
-0.396213,0.281173,-0.0749001
-0.413164,0.322741,-0.131569
-0.520838,0.331742,-0.0715949
-0.510313,0.310551,-0.0706775
-0.524345,0.316323,-0.226171
-0.525989,0.375726,-0.193229
-0.536874,0.192235,-0.137986
-0.557112,0.23738,-0.171366
-0.500809,0.306901,-0.0562685
-0.541091,0.315369,-0.107107
-0.561331,0.343158,-0.0591303
-0.581255,0.410729,-0.0702444
-0.63017,0.417831,-0.0116082
-0.650232,0.367514,-0.03482
-0.515601,0.244244,-0.100347
-0.554385,0.279744,-0.159955
-0.608025,0.271957,-0.0793341
-0.602666,0.350155,-0.107592
-0.582383,0.260026,-0.0910884
-0.59855,0.317945,-0.0643331
-0.557058,0.278438,-0.0792473
-0.615999,0.353714,-0.095929
-0.522202,0.361908,-0.116278
-0.496298,0.357921,-0.134472
-0.561409,0.480289,-0.0221165
-0.578121,0.395219,-0.0791334
-0.596408,0.506025,-0.0032555
-0.614688,0.504561,0.0364491
-0.589543,0.532504,0.0316427
-0.631965,0.632539,0.0805746
-0.500262,0.57137,-0.0630179
-0.619664,0.649422,-0.0118376
-0.580105,0.651023,0.00429329
-0.571784,0.64855,0.0172384
-0.580271,0.508375,-0.0740228
-0.541034,0.491187,-0.0684756
-0.574739,0.639129,-0.0154163
-0.644599,0.679622,0.0141653
-0.481528,0.326169,-0.142276
-0.489689,0.363937,-0.0839383
-0.521663,0.421714,-0.121939
-0.565677,0.482405,-0.0220806
-0.580579,0.50975,-0.0275572
-0.623587,0.573969,0.000974556
-0.605457,0.475412,-0.0401656
-0.665454,0.537212,-0.0131658
-0.626439,0.485706,0.0337592
-0.623752,0.487016,-0.0633035
-0.594406,0.354171,-0.0336854
-0.650009,0.463346,0.0170384
-0.623865,0.569847,-0.0433772
-0.690798,0.64661,-0.0319642
-0.631124,0.545082,-0.00620255
-0.688669,0.636701,-0.0415245
-0.320985,0.201805,-0.207441
-0.343284,0.178062,-0.215655
-0.244219,0.245565,-0.165665
-0.291486,0.257905,-0.154826
-0.194963,0.238787,-0.176171
-0.235614,0.25317,-0.171063
-0.338344,0.254272,-0.161079
-0.301382,0.247185,-0.283037
-0.214807,0.252894,-0.150176
-0.272105,0.275737,-0.132844
-0.289347,0.243812,-0.143924
-0.379931,0.235102,-0.151305
-0.447185,0.265675,-0.134016
-0.406619,0.257459,-0.145161
-0.38703,0.335997,-0.0847656
-0.472261,0.331355,-0.0798285
-0.39973,0.330698,-0.0464023
-0.468769,0.360329,-0.0313417
-0.43262,0.391929,-0.0160133
-0.404453,0.469117,-0.0544017
-0.372235,0.288854,-0.0704708
-0.4334,0.342047,-0.0445236
-0.432087,0.375221,-0.00838247
-0.438322,0.279827,-0.0407935
-0.402359,0.318385,-0.112833
-0.425718,0.371441,-0.0573107
-0.475046,0.377678,0.000458349
-0.484662,0.385201,-0.0676118
-0.311483,0.355916,-0.143642
-0.30924,0.398646,-0.20588
-0.426063,0.409153,-0.201376
-0.39884,0.394943,-0.181986
-0.278231,0.246221,-0.157967
-0.309734,0.248012,-0.161416
-0.381623,0.216113,-0.19536
-0.277004,0.367756,-0.209466
-0.47609,0.198431,-0.135638
-0.522592,0.231252,-0.153646
-0.462635,0.319387,-0.184328
-0.504564,0.398679,-0.212219
-0.506086,0.343509,-0.0806826
-0.488858,0.299367,-0.102286
-0.553507,0.401363,-0.0169098
-0.535716,0.407984,-0.0881332
-0.498513,0.327446,-0.0614348
-0.578445,0.388019,-0.0801778
-0.60994,0.365148,-0.0684163
-0.627631,0.390226,-0.0510195
-0.531159,0.405721,-0.00185449
-0.48883,0.332882,-0.0752109
-0.407572,0.296828,-0.10073
-0.458737,0.390003,-0.0959598
-0.553048,0.530382,0.021285
-0.589734,0.488767,0.0754811
-0.490789,0.561762,-0.0237918
-0.57171,0.56391,-0.0173337
-0.483442,0.372438,-0.0425753
-0.572488,0.446607,-0.0584185
-0.5518,0.458162,-0.0827759
-0.55993,0.463319,-0.056895
-0.490118,0.402121,-0.061633
-0.53734,0.429805,-0.0907615
-0.552831,0.474775,-0.0133696
-0.567615,0.510676,-0.0340373
-0.488938,0.454247,-0.125714
-0.458453,0.421063,-0.209267
-0.463815,0.547877,-0.121838
-0.465432,0.560037,-0.12128
-0.502072,0.480776,0.0228198
-0.358707,0.416416,-0.0315203
-0.117067,0.486538,-0.20376
-0.438058,0.504339,-0.161749
-0.41568,0.382648,-0.0765913
-0.320578,0.426222,-0.0322613
-0.467511,0.429881,-0.0984852
-0.518109,0.56556,-0.0364197
-0.494318,0.590744,-0.166848
-0.382042,0.651489,-0.0949225
-0.582904,0.664438,-0.0326555
-0.57154,0.586206,-0.0734142
-0.660014,0.376565,-0.195496
-0.726614,0.581601,-0.144585
-0.593273,0.486582,-0.115393
-0.727922,0.458663,-0.0986969
-0.453908,0.419343,0.0240199
-0.467367,0.501788,0.001258
-0.377686,0.569662,-0.250918
-0.506009,0.517088,-0.239658
-0.498938,0.502795,-0.229923
-0.498473,0.484937,-0.319308
-0.681345,0.334292,-0.215153
-0.404234,0.43203,-0.232669
-0.359379,0.67295,-0.143316
-0.470685,0.531712,-0.0442216
-0.416546,0.537705,-0.0836631
-0.404268,0.568687,-0.226197
-0.486395,0.36826,-0.045165
-0.531428,0.416936,-0.10198
-0.550544,0.428571,-0.0412415
-0.54371,0.470922,-0.0910229
-0.534742,0.514776,0.00759782
-0.524993,0.513417,-0.0584855
-0.556548,0.518771,-0.0462626
-0.59566,0.59827,-0.107145
-0.533671,0.378153,-0.0805626
-0.583522,0.425136,-0.0686194
-0.679294,0.419147,0.0207453
-0.628781,0.473969,-0.0172677
-0.512953,0.319093,-0.0810336
-0.601443,0.348807,-0.0854397
-0.558219,0.437581,-0.072158
-0.654758,0.488664,-0.0221866
-0.477198,0.438136,0.0116269
-0.513185,0.527656,0.0566737
-0.501714,0.590255,0.0304301
-0.516504,0.519755,0.0142019
-0.639233,0.535581,0.0136724
-0.577642,0.501528,-0.00101926
-0.633161,0.34218,0.202622
-0.625728,0.562217,-0.0467009
-0.477274,0.327644,-0.0786591
-0.557741,0.429927,-0.0279934
-0.598753,0.445854,-0.0403751
-0.586903,0.476006,-0.0594176
-0.569118,0.491928,-0.058468
-0.549747,0.494896,-0.0839713
-0.527653,0.546525,-0.0625241
-0.5758,0.562037,-0.127467
-0.784602,0.0679619,-0.377969
-0.692714,0.0821961,-0.35612
-0.903798,0.119531,-0.316512
-0.861885,0.13163,-0.350009
-0.725168,0.223995,-0.474625
-0.716344,0.154396,-0.401984
-0.761214,0.233116,-0.407134
-0.666757,0.225696,-0.360262
-0.584261,0.107405,-0.38132
-0.704825,0.345526,-0.348563
-0.572207,0.309322,-0.453388
-0.69814,0.223264,-0.350653
-0.738948,0.188715,-0.476683
-0.492548,0.459496,-0.489217
-0.485724,0.38677,-0.400474
-0.586927,0.430304,-0.316138
-0.361522,0.642768,-0.351258
-0.773941,0.0756614,-0.476982
-0.877401,0.134994,-0.313843
-0.871827,0.195904,-0.346912
-0.708187,0.376624,-0.434904
-0.756858,0.346865,-0.495036
-0.799206,0.297796,-0.471716
-0.820963,0.284415,-0.505355
-0.791379,0.0938498,-0.359109
-0.507844,0.372318,-0.227746
-0.774797,0.194171,-0.318383
-0.640693,0.195764,-0.28076
-0.470487,0.516828,0.0668379
-0.462823,0.638087,-0.187319
-0.461508,0.672161,-0.0115187
