# data/codebooks/_/eps_0.0005_M_0032.cbook:
# P=36  size=32  className='_'
k1,k2
-0.671636,0.0816094
-0.633554,0.112567
-0.529675,0.323502
-0.629897,0.534502
-0.418726,0.268174
-0.55578,0.385631
-0.491423,0.519359
-0.555905,0.484946
-0.711902,0.200261
-0.582592,0.680283
-0.53779,0.595033
-0.564349,0.668948
-0.565927,0.730131
-0.567521,0.740828
-0.55962,0.680497
-0.583602,0.685881
-0.208994,0.266528
-0.147554,0.30481
-0.270511,0.231777
-0.321404,0.324907
-0.49394,0.320148
-0.504433,0.414281
-0.486092,0.615861
-0.520255,0.635938
-0.182412,0.26935
-0.133072,0.325241
-0.232081,0.423735
-0.115837,0.427041
-0.500463,0.616825
-0.539445,0.668366
-0.471541,0.604514
-0.434639,0.554844

