# data/codebooks/_/eps_0.0005_M_0256.cbook:
# P=36  size=256  className='_'
k1,k2
-0.69105,-0.058154
-0.705163,0.0350161
-0.525117,0.0611839
-0.663314,0.0709649
-0.777793,0.1409
-0.753384,0.159471
-0.691715,0.260873
-0.721474,0.390237
-0.412666,0.0954037
-0.249123,0.356421
-0.283408,0.200772
-0.35708,0.140808
-0.523177,0.0529098
-0.630169,0.0653139
-0.726312,0.182399
-0.734401,0.252146
-0.358419,0.250068
-0.436352,0.229544
-0.422462,0.301667
-0.512378,0.344723
-0.52671,0.274709
-0.613183,0.400987
-0.579399,0.278141
-0.595814,0.326812
-0.545902,0.400582
-0.595654,0.517419
-0.567984,0.625633
-0.59561,0.595598
-0.527725,0.42373
-0.623512,0.528424
-0.624278,0.5049
-0.666908,0.597472
-0.285551,0.220497
-0.307881,0.234743
-0.292394,0.253047
-0.430793,0.270641
-0.432415,0.365177
-0.451552,0.328363
-0.42991,0.343967
-0.407202,0.390311
-0.347067,0.251393
-0.480057,0.257613
-0.530976,0.374529
-0.601402,0.379546
-0.480141,0.380663
-0.574975,0.527751
-0.54845,0.443742
-0.540818,0.480924
-0.465864,0.482996
-0.441017,0.496882
-0.514129,0.459214
-0.47574,0.621532
-0.660607,0.447276
-0.473594,0.49265
-0.471126,0.508176
-0.425988,0.60711
-0.518082,0.412736
-0.566845,0.547539
-0.617143,0.406065
-0.604583,0.408996
-0.50032,0.506242
-0.599946,0.508337
-0.560323,0.444342
-0.555365,0.536767
-0.816348,0.0713466
-0.736438,0.192308
-0.661958,0.222784
-0.572898,0.360605
-0.816474,0.16986
-0.774331,0.324321
-0.668094,0.222848
-0.462064,0.658542
-0.473664,0.629904
-0.502755,0.652082
-0.555705,0.736944
-0.647072,0.848551
-0.479105,0.582408
-0.605076,0.723174
-0.57942,0.688116
-0.556611,0.597075
-0.552639,0.549449
-0.532883,0.457911
-0.37751,0.37999
-0.506445,0.595698
-0.546453,0.677281
-0.536589,0.590958
-0.584881,0.62059
-0.527783,0.609538
-0.558558,0.839569
-0.532025,0.740463
-0.584905,0.60273
-0.62828,0.592791
-0.245842,0.441968
-0.51495,0.634794
-0.473192,0.576133
-0.551783,0.564136
-0.393897,0.777586
-0.445913,0.581787
-0.292184,0.390678
-0.439169,0.552335
-0.604095,0.727646
-0.570304,0.763126
-0.568615,0.726114
-0.454672,0.638322
-0.591373,0.7923
-0.448398,0.707633
-0.625182,0.847227
-0.537007,0.725464
-0.565332,0.610008
-0.567618,0.684662
-0.558859,0.671669
-0.545776,0.621611
-0.595274,0.763344
-0.586813,0.668633
-0.532898,0.688166
-0.487407,0.635917
-0.628083,0.814715
-0.592404,0.699109
-0.597451,0.706305
-0.613413,0.75494
-0.627775,0.704399
-0.64362,0.799229
-0.390447,0.432196
-0.581331,0.741334
-0.399847,0.56453
-0.424668,0.559341
-0.458868,0.537392
-0.442991,0.523949
-0.16878,0.276285
-0.205692,0.269453
-0.147178,0.323159
-0.158963,0.303516
-0.212951,0.250088
-0.219376,0.296204
-0.276792,0.275923
-0.30142,0.275727
-0.138514,0.278864
-0.125965,0.286857
-0.13639,0.359773
-0.158508,0.353145
-0.148236,0.302288
-0.157505,0.31788
-0.145051,0.279676
-0.161158,0.29625
-0.193242,0.267836
-0.198313,0.269932
-0.182028,0.26661
-0.22988,0.257224
-0.235066,0.247956
-0.235421,0.283087
-0.293737,0.236259
-0.43635,0.190745
-0.231194,0.285605
-0.280677,0.298764
-0.24004,0.29503
-0.310374,0.336886
-0.334997,0.352755
-0.445953,0.463257
-0.411756,0.338967
-0.450439,0.355672
-0.508962,0.178809
-0.541667,0.257592
-0.419271,0.206193
-0.520184,0.244495
-0.411672,0.357464
-0.504138,0.456941
-0.467936,0.385593
-0.495711,0.585663
-0.511075,0.330839
-0.570012,0.417315
-0.519309,0.248655
-0.487242,0.352486
-0.406689,0.393646
-0.519603,0.44375
-0.553281,0.519088
-0.601338,0.51539
-0.467994,0.582978
-0.341612,0.581993
-0.543523,0.532526
-0.473503,0.669351
-0.685171,0.663439
-0.438405,0.605646
-0.353398,0.484149
-0.532383,0.598728
-0.29164,0.4944
-0.429539,0.592125
-0.477242,0.671565
-0.509313,0.712673
-0.380543,0.52136
-0.450491,0.551727
-0.509582,0.640427
-0.543424,0.72303
-0.183957,0.24779
-0.20494,0.239537
-0.171984,0.251433
-0.180265,0.294227
-0.164821,0.302788
-0.166596,0.294315
-0.183368,0.289981
-0.209728,0.364766
-0.110585,0.311027
-0.127817,0.315862
-0.114379,0.2887
-0.12898,0.339035
-0.0358143,0.38432
-0.100379,0.402322
-0.141239,0.362939
-0.168449,0.525653
-0.257949,0.33695
-0.410555,0.517881
-0.299355,0.420872
-0.481016,0.477448
-0.199289,0.378485
-0.251335,0.456106
-0.120149,0.386404
-0.131626,0.479598
-0.0471699,0.437124
-0.0920558,0.364187
-0.0166829,0.276219
0.00883179,0.370968
-0.0989949,0.411741
-0.126907,0.393314
-0.191855,0.343559
-0.251983,0.464217
-0.106616,0.38635
-0.288923,0.365482
-0.598149,0.718484
-0.51854,0.694629
-0.550528,0.616843
-0.299903,0.649608
-0.356075,0.36273
-0.5544,0.594562
-0.535167,0.620174
-0.548197,0.622952
-0.569629,0.715636
-0.557733,0.670788
-0.471893,0.539998
-0.546065,0.733246
-0.589179,0.76124
-0.615407,0.698609
-0.477626,0.207841
-0.404505,0.536462
-0.486668,0.65644
-0.457463,0.622594
-0.326905,0.375945
-0.304036,0.506191
-0.503356,0.687015
-0.522737,0.680203
