codeword,minDistortion
1454,0.027665
1574,0.030442
1867,0.041047
1462,0.045132
1616,0.063158
1858,0.048327
1445,0.063516
1865,0.055297
1856,0.060271
1576,0.040744
1578,0.040423
1865,0.043760
1461,0.039625
1464,0.045248
1464,0.041973
1866,0.029574
1865,0.058633
1461,0.055928
1868,0.044127
1578,0.031051
1578,0.050850
1865,0.034006
1865,0.035178
1464,0.051923
1856,0.052931
1861,0.043373
1861,0.028307
1866,0.026133
1460,0.047986
1460,0.070589
1460,0.056240
1864,0.036746
1862,0.043444
1857,0.036512
1578,0.024784
1570,0.064696
1858,0.046392
1455,0.042656
1454,0.052497
1858,0.046573
1866,0.033630
1858,0.029927
1858,0.047936
1576,0.031125
1561,0.031895
1449,0.045887
1455,0.028666
1453,0.029133
1857,0.043371
1864,0.051947
1859,0.029398
1576,0.032444
1870,0.054896
1859,0.041479
1578,0.050546
1864,0.041233
1452,0.053983
1877,0.036357
1869,0.039290
1577,0.033505
1450,0.051301
1856,0.028249
1454,0.047631
1576,0.040416
1856,0.020446
1449,0.027928
1866,0.033759
1866,0.043195
1862,0.048696
1857,0.036550
1868,0.055255
1860,0.042853
1561,0.040819
1463,0.045258
1576,0.041866
1572,0.051392
1869,0.040716
1866,0.036933
1449,0.059050
1461,0.050546
1857,0.030698
1864,0.026336
1868,0.036915
1446,0.062643
1450,0.054875
1465,0.047089
1454,0.043516
1552,0.069747
1577,0.052595
1577,0.023357
1564,0.054996
1862,0.042483
1870,0.043527
1470,0.027265
1465,0.028465
1857,0.057217
1861,0.036663
1865,0.041930
1462,0.046379
1462,0.031357
1462,0.033587
1462,0.041126
1868,0.048965
1450,0.045852
1858,0.037032
1451,0.067481
1465,0.058358
1501,0.046492
1947,0.049302
107,0.075897
270,0.103381
721,0.136560
496,0.164347
517,0.141821
1982,0.118921
291,0.075682
1565,0.069490
482,0.091104
480,0.087888
480,0.103061
910,0.083541
910,0.141660
904,0.207766
861,0.137045
837,0.186684
837,0.169585
755,0.157335
754,0.132315
754,0.059424
754,0.057014
754,0.089417
754,0.103548
753,0.134656
755,0.226576
850,0.326066
861,0.209341
905,0.165258
910,0.168354
910,0.119863
480,0.073763
998,0.058103
778,0.118903
1886,0.111829
548,0.085135
724,0.094340
270,0.077749
270,0.121136
925,0.170114
960,0.123401
962,0.121716
1016,0.137994
1016,0.129152
110,0.082640
384,0.129311
1832,0.090558
105,0.062136
107,0.051149
1564,0.038499
1572,0.028071
1571,0.047030
1865,0.055427
1856,0.060751
1576,0.044280
1867,0.037383
1865,0.078596
1864,0.064282
1856,0.041475
1560,0.051501
1577,0.057907
1857,0.048001
1876,0.047176
1865,0.041246
1466,0.071962
1873,0.055267
1466,0.054102
1446,0.054612
1873,0.047562
1468,0.041548
1469,0.038679
1443,0.093215
1443,0.074791
1446,0.106229
281,0.093455
281,0.133218
280,0.154637
74,0.154843
1221,0.085063
1443,0.106863
1446,0.122041
281,0.087609
281,0.157897
1446,0.115008
1467,0.069085
1443,0.055154
1442,0.039426
1447,0.044458
1443,0.029736
1469,0.046813
1443,0.046482
1442,0.073692
1446,0.055798
1466,0.045320
1876,0.032867
1466,0.045575
1501,0.049585
1447,0.060413
1445,0.051010
1464,0.034924
104,0.047885
105,0.046616
105,0.065154
105,0.046253
105,0.059295
1862,0.064088
1866,0.026353
1860,0.036152
1891,0.038472
1859,0.047814
1449,0.045580
1866,0.057209
1871,0.066987
1470,0.054571
1865,0.040613
1468,0.035512
1444,0.047184
1463,0.045754
1564,0.038705
1455,0.042975
1460,0.035623
1865,0.038366
1867,0.028516
1465,0.054994
1865,0.037789
1595,0.036136
1862,0.026912
107,0.061481
1863,0.036979
1460,0.033458
1870,0.026472
1463,0.042749
1454,0.032966
1452,0.035194
1865,0.046114
1465,0.026313
1777,0.034696
1871,0.032725
1593,0.046646
1864,0.029385
1576,0.038882
1859,0.049152
1869,0.044256
1548,0.030725
1582,0.042438
1453,0.035760
1577,0.039273
1463,0.025900
1866,0.038419
1449,0.045284
1577,0.050529
1463,0.039644
1869,0.054971
1567,0.054925
1460,0.036385
1462,0.043570
1866,0.028673
1491,0.034890
1464,0.035956
1465,0.045284
1446,0.049949
1468,0.058447
1455,0.035591
1465,0.043436
1446,0.033988
282,0.059379
282,0.040718
1577,0.038771
1576,0.062301
1869,0.049512
1866,0.037197
1876,0.061360
1462,0.051137
1858,0.036726
1869,0.032129
1859,0.049445
1866,0.035277
1564,0.031940
1462,0.026902
1862,0.045547
1856,0.056687
1869,0.059917
1866,0.045109
1462,0.031666
1462,0.048327
1857,0.052108
1429,0.027559
1600,0.056162
1501,0.052826
1454,0.033460
1868,0.038761
1856,0.034964
1860,0.048267
1876,0.048878
1856,0.021687
1777,0.046371
1482,0.040597
1829,0.051692
99,0.078563
99,0.141881
99,0.176017
496,0.091049
547,0.143029
298,0.152753
295,0.142532
779,0.135377
1013,0.095275
999,0.137712
998,0.111350
998,0.151808
482,0.277706
482,0.110408
482,0.127636
482,0.203884
481,0.161921
482,0.112551
482,0.073908
482,0.094360
482,0.175720
998,0.118564
998,0.129439
998,0.107446
1013,0.083287
1013,0.103820
