# 268686 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,9,0.285415,1.453891,522828.495346
4,9,0.236424,2.079603,457206.493195
8,15,0.196693,3.558782,415913.646977
16,14,0.167026,5.153438,384482.300009
32,20,0.141351,7.154483,359349.556103
64,19,0.121253,9.554444,342508.921965
128,16,0.107120,12.136631,332027.907051
256,17,0.096203,14.315932,324612.268032
512,15,0.087421,16.705644,318889.487475
1024,15,0.079596,19.233455,313963.162855
2048,14,0.072313,22.115393,309482.011895
