# data/codebooks/_/eps_0.0005_M_1024.cbook:
# P=36  size=1024  className='_'
k1,k2,k3
-0.334726,0.491075,-0.110355
-0.543406,0.642951,0.0223322
-0.468539,0.593746,0.141491
-0.460074,0.637524,0.112439
-0.429019,0.593905,0.0672974
-0.396287,0.663848,0.0806723
-0.405144,0.55294,-0.0939026
-0.442347,0.589618,0.00207447
-0.560516,0.630392,0.0729241
-0.530969,0.730936,0.0556636
-0.668893,0.180044,-0.206487
-0.74605,0.319024,-0.222398
-0.525308,0.330441,-0.0922147
-0.704944,0.299231,-0.201045
-0.854234,0.122778,-0.367449
-0.727894,0.1979,-0.365721
-0.632627,0.241084,-0.458867
-0.533303,0.432354,-0.471876
-0.782057,0.231267,-0.202262
-0.807479,0.237921,-0.31822
-0.777769,0.366876,-0.137161
-0.727425,0.388794,-0.125862
-0.721064,0.364386,0.00968579
-0.647179,0.420947,-0.0538667
-0.637063,0.272534,-0.241383
-0.674734,0.340173,-0.197883
-0.816236,0.163812,-0.247375
-0.703301,0.22721,-0.2571
-0.742641,0.130134,-0.202065
-0.755297,0.352703,-0.117671
-0.56019,0.244613,-0.107171
-0.741347,0.295587,-0.172904
-0.69404,0.145192,-0.236622
-0.533908,0.320385,-0.282768
-0.743092,0.212726,-0.513582
-0.874136,0.200756,-0.337822
-0.728469,0.373406,-0.470907
-0.805281,0.283964,-0.480053
-0.569932,0.281321,-0.275397
-0.608145,0.294246,-0.228945
-0.63838,0.382446,-0.332928
-0.464153,0.689063,-0.00480458
-0.446372,0.319732,-0.0658255
-0.53321,0.460199,-0.035074
-0.571391,0.455889,-0.0914403
-0.560799,0.4583,-0.0730775
-0.581318,0.4611,-0.0639992
-0.624628,0.408398,-0.0412342
-0.546643,0.521501,-0.0345099
-0.613764,0.513276,0.0128887
-0.41206,0.33852,-0.0613492
-0.489471,0.427593,-0.0152217
-0.395847,0.389016,-0.192793
-0.504873,0.500604,-0.0807373
-0.529511,0.389272,-0.0456769
-0.563227,0.47746,-0.0598571
-0.530178,0.512244,-0.0529861
-0.579833,0.584228,-0.110755
-0.470426,0.443264,-0.0503125
-0.449105,0.46029,-0.0503193
-0.511102,0.293657,-0.0774717
-0.513448,0.322959,-0.0603669
-0.557656,0.450554,-0.170806
-0.56596,0.454321,-0.178599
-0.510667,0.456909,-0.178168
-0.565977,0.541418,-0.161803
-0.651197,0.302825,-0.184455
-0.605291,0.311462,-0.216892
-0.646285,0.310267,-0.169738
-0.644263,0.369628,-0.231575
-0.565752,0.248477,-0.157826
-0.682201,0.427756,-0.126417
-0.484009,0.475046,-0.236078
-0.588419,0.60859,-0.214854
-0.47967,0.408646,-0.0918269
-0.389865,0.502863,0.0412862
-0.660409,0.38973,-0.000419426
-0.648561,0.367272,-0.0805143
-0.424779,0.357274,-0.0693841
-0.471168,0.482627,-0.0537644
-0.446069,0.51262,-0.165894
