codeword,minDistortion
727,0.028411
933,0.029904
933,0.046308
727,0.046579
808,0.059605
929,0.049015
722,0.064066
933,0.062098
724,0.062646
788,0.042834
934,0.039261
934,0.049128
730,0.043097
732,0.043134
732,0.040702
933,0.031798
934,0.058953
730,0.058375
934,0.045165
783,0.033160
933,0.051019
731,0.034687
932,0.041033
932,0.052074
928,0.054461
930,0.037379
930,0.027606
935,0.026645
730,0.046802
731,0.072679
730,0.059027
932,0.034036
932,0.041395
928,0.042020
789,0.029779
785,0.064462
929,0.045292
727,0.046540
727,0.053838
929,0.048638
932,0.039966
928,0.028400
929,0.048147
932,0.031224
780,0.033285
724,0.043515
732,0.031571
726,0.026450
928,0.040582
928,0.050498
929,0.029085
788,0.034628
788,0.054521
731,0.040427
930,0.052405
932,0.043416
726,0.061422
939,0.034207
934,0.038812
731,0.032409
725,0.052862
726,0.030066
727,0.052472
932,0.040781
928,0.021110
724,0.031586
933,0.038012
933,0.046753
938,0.051797
928,0.040270
934,0.055606
928,0.043999
780,0.038301
731,0.047045
730,0.044881
788,0.053257
934,0.038131
933,0.041116
725,0.058413
730,0.049759
932,0.033040
928,0.029238
934,0.040133
730,0.064084
725,0.053637
732,0.052359
932,0.048148
780,0.071373
788,0.052226
788,0.025930
782,0.053592
933,0.047230
788,0.044773
735,0.032601
735,0.029588
930,0.055333
930,0.038935
933,0.041524
928,0.048598
933,0.037369
731,0.039496
727,0.044063
934,0.047058
725,0.050739
929,0.035406
936,0.068516
732,0.065002
750,0.048890
975,0.048035
53,0.056965
135,0.138782
361,0.148670
248,0.202491
258,0.222846
147,0.141603
145,0.064427
782,0.091421
242,0.117694
240,0.084420
455,0.131033
455,0.142795
452,0.170835
452,0.235017
430,0.140224
430,0.209830
418,0.233359
377,0.172432
377,0.145022
377,0.144987
377,0.181901
377,0.246680
377,0.149748
376,0.123000
377,0.269413
425,0.349008
430,0.208682
452,0.159364
452,0.177510
455,0.157089
240,0.073561
499,0.068112
389,0.131094
943,0.125545
306,0.093604
361,0.082323
135,0.098851
135,0.128792
462,0.185817
480,0.130757
481,0.111786
192,0.420993
49,0.199431
55,0.078284
192,0.126179
916,0.102996
52,0.072860
918,0.045232
786,0.044300
786,0.034096
785,0.054473
731,0.070411
726,0.059934
781,0.046729
933,0.036541
932,0.085261
932,0.064971
928,0.041359
777,0.054999
788,0.056264
727,0.048489
938,0.051620
731,0.047781
936,0.083078
936,0.063127
733,0.058820
723,0.056313
723,0.054602
732,0.043836
734,0.041875
723,0.093251
