codeword,minDistortion
365,0.029124
393,0.034981
466,0.052644
464,0.049046
363,0.065613
464,0.049413
361,0.075518
466,0.062731
362,0.063649
365,0.043884
467,0.042432
467,0.049801
365,0.040363
366,0.044335
363,0.043941
466,0.032742
466,0.061394
365,0.063642
365,0.046215
391,0.029977
467,0.055844
365,0.037085
466,0.046372
466,0.054076
464,0.057124
465,0.038236
465,0.030540
467,0.026288
363,0.047595
365,0.071519
361,0.065046
466,0.037754
466,0.044128
464,0.042551
394,0.031026
465,0.069701
464,0.052785
465,0.043152
465,0.051653
464,0.049744
466,0.037514
464,0.027425
464,0.047572
466,0.030902
390,0.036665
362,0.043468
366,0.031833
363,0.029208
464,0.041631
464,0.052262
465,0.032193
464,0.037052
467,0.054186
467,0.040105
466,0.054316
466,0.047426
362,0.057891
469,0.034474
465,0.034787
467,0.035175
362,0.051897
363,0.032402
466,0.052994
465,0.040383
464,0.022085
362,0.031353
466,0.037761
466,0.044531
472,0.055246
464,0.040324
465,0.058399
464,0.042370
390,0.037809
365,0.049943
464,0.046688
390,0.055531
467,0.049338
466,0.043773
362,0.061505
365,0.053027
464,0.033373
464,0.027633
466,0.046442
364,0.064525
363,0.058044
366,0.054893
466,0.046940
362,0.075246
466,0.058087
465,0.030480
391,0.060336
466,0.045948
394,0.044843
367,0.037113
365,0.027744
465,0.055736
70,0.043364
466,0.040229
365,0.047640
466,0.041403
466,0.042559
363,0.045577
465,0.050698
362,0.051118
465,0.039786
363,0.064070
366,0.067876
375,0.044909
487,0.048431
26,0.067008
67,0.206086
181,0.156786
124,0.261151
129,0.245030
73,0.127370
73,0.120632
121,0.109696
120,0.115302
120,0.091431
227,0.104048
227,0.131639
227,0.225945
222,0.330879
215,0.164684
212,0.261623
209,0.292502
188,0.250982
188,0.103332
188,0.133194
188,0.229445
188,0.191952
188,0.159936
188,0.135829
209,0.320739
212,0.380437
215,0.167188
215,0.329402
226,0.145611
227,0.139596
120,0.095605
249,0.114620
194,0.141445
471,0.130960
153,0.104887
180,0.086716
67,0.082138
67,0.151378
231,0.242238
240,0.127763
240,0.139096
24,0.388861
24,0.216590
27,0.101053
96,0.175547
460,0.101630
26,0.072738
459,0.054155
363,0.045069
465,0.038871
393,0.058566
467,0.070094
362,0.063527
390,0.045603
466,0.038567
365,0.085892
464,0.068031
464,0.044426
388,0.055327
390,0.059589
363,0.048418
466,0.053760
366,0.046648
366,0.081469
363,0.063990
366,0.057746
366,0.058655
366,0.060007
366,0.041918
367,0.050893
361,0.090309
361,0.077034
361,0.119601
70,0.145795
361,0.165908
18,0.188174
18,0.173895
305,0.098197
361,0.115597
361,0.150534
70,0.120244
18,0.183915
361,0.139058
366,0.068617
361,0.051385
360,0.043785
366,0.051987
361,0.026928
366,0.056488
361,0.054882
360,0.076679
361,0.058474
366,0.049533
468,0.035338
366,0.046415
363,0.052914
365,0.061804
361,0.049393
366,0.038534
362,0.054803
26,0.054267
26,0.070757
26,0.050661
26,0.064905
472,0.077212
466,0.025412
465,0.039700
465,0.042785
465,0.054553
362,0.051961
465,0.056526
467,0.076386
365,0.062350
464,0.045228
365,0.033369
361,0.048138
365,0.048893
390,0.043069
465,0.051263
363,0.039511
365,0.045140
466,0.030104
366,0.059320
466,0.041335
467,0.042848
393,0.028047
26,0.072482
393,0.039430
464,0.038296
467,0.029818
365,0.049859
363,0.042258
362,0.038198
466,0.048337
466,0.032026
363,0.040343
398,0.034949
467,0.052559
466,0.030931
464,0.041103
467,0.049938
365,0.044715
390,0.035701
395,0.049447
464,0.039284
465,0.039434
365,0.029110
466,0.042289
362,0.050611
365,0.052179
467,0.042480
391,0.055853
391,0.049191
365,0.036209
467,0.047433
466,0.031999
466,0.034155
366,0.041001
367,0.046316
366,0.060906
375,0.064084
363,0.045275
366,0.046740
363,0.036381
363,0.067497
70,0.044119
394,0.044654
365,0.065244
467,0.053580
467,0.038652
466,0.062069
466,0.052189
365,0.041056
467,0.035601
465,0.047414
466,0.038432
464,0.029502
365,0.030543
465,0.045303
464,0.062473
467,0.075325
466,0.050539
365,0.035759
466,0.052241
464,0.056700
364,0.027668
365,0.067303
467,0.062240
363,0.039564
365,0.041261
464,0.033095
363,0.046044
466,0.047863
464,0.028589
464,0.051745
373,0.050269
457,0.046621
25,0.075135
27,0.174858
126,0.227497
124,0.158286
137,0.164772
74,0.191799
72,0.185046
194,0.132939
253,0.160287
249,0.217189
249,0.151267
249,0.218046
244,0.347153
120,0.210613
120,0.202098
120,0.220251
120,0.152899
120,0.106610
120,0.128148
120,0.176264
249,0.240677
249,0.168716
249,0.190050
249,0.202274
253,0.177311
121,0.194619
253,0.129203
194,0.104870
194,0.084201
73,0.123422
128,0.165140
287,0.118681
470,0.107562
361,0.103110
468,0.055464
363,0.057203
366,0.044637
366,0.040104
361,0.059407
360,0.033642
361,0.044159
367,0.061549
366,0.066448
360,0.075603
361,0.065808
366,0.048291
366,0.044916
366,0.037945
361,0.035576
366,0.034921
361,0.048328
367,0.053687
366,0.030204
361,0.048042
361,0.052098
361,0.060550
361,0.063270
361,0.053299
367,0.074834
