index,cardinality,distortion
0,953,0.160272
1,1125,0.174377
2,1165,0.174992
3,1300,0.168600
4,2325,0.104165
5,2187,0.123724
6,1213,0.146783
7,1902,0.121718
8,2217,0.128763
9,1303,0.185938
10,1486,0.167943
11,1150,0.209045
12,681,0.221928
13,610,0.288754
14,819,0.182300
15,828,0.189203
16,1523,0.142347
17,1843,0.148253
18,1255,0.198120
19,2434,0.135393
20,2164,0.155771
21,2559,0.142089
22,406,0.404648
23,935,0.274429
24,350,0.420500
25,414,0.401768
26,649,0.289693
27,597,0.438558
28,1210,0.162004
29,1536,0.183618
30,1195,0.204349
31,694,0.276162
32,448,0.330906
33,199,0.362872
34,510,0.250586
35,290,0.297127
36,329,0.250353
37,582,0.229788
38,1682,0.157968
39,410,0.225963
40,518,0.210682
41,578,0.280495
42,344,0.262211
43,405,0.240736
44,216,0.313606
45,554,0.225301
46,308,0.309210
47,236,0.350086
48,425,0.330509
49,432,0.313415
50,430,0.298384
51,362,0.328657
52,233,0.363246
53,442,0.309238
54,275,0.348035
55,316,0.310254
56,322,0.357343
57,322,0.279803
58,278,0.259346
59,406,0.286675
60,543,0.266314
61,361,0.340686
62,439,0.328399
63,307,0.384085
64,3867,0.077841
65,1865,0.095511
66,1357,0.184740
67,3615,0.109871
68,6627,0.074977
69,3361,0.085848
70,4437,0.090800
71,2006,0.141032
72,1097,0.115592
73,1692,0.105080
74,1298,0.111447
75,2113,0.094413
76,4351,0.079503
77,3654,0.081349
78,1700,0.124122
79,1653,0.129299
80,1472,0.097322
81,873,0.130814
82,1004,0.160941
83,2425,0.095483
84,330,0.318537
85,288,0.370267
86,391,0.308081
87,321,0.306411
88,6132,0.064331
89,10013,0.057820
90,3880,0.075894
91,4286,0.066724
92,11303,0.055777
93,10870,0.059277
94,5999,0.083326
95,1705,0.179871
96,2922,0.102594
97,5668,0.067505
98,7571,0.062542
99,6663,0.072316
100,1342,0.139093
101,885,0.168751
102,1147,0.143799
103,662,0.196319
104,80,0.388973
105,171,0.354740
106,990,0.175566
107,1120,0.161840
108,1001,0.168633
109,773,0.173864
110,1245,0.179919
111,1057,0.189785
112,908,0.247934
113,1063,0.217202
114,1861,0.123422
115,1029,0.184253
116,10327,0.056462
117,5118,0.070843
118,7910,0.057683
119,5689,0.063276
120,3277,0.071582
121,7481,0.058620
122,3566,0.067753
123,5505,0.060648
124,7390,0.060124
125,8172,0.061393
126,3543,0.082209
127,2035,0.133595
