codeword,minDistortion
232,0.030157
233,0.034320
233,0.054438
232,0.045570
181,0.071328
182,0.050918
177,0.080668
233,0.062833
181,0.066904
233,0.042619
233,0.043146
233,0.048042
182,0.047862
183,0.050914
232,0.044544
236,0.031941
233,0.060437
182,0.063337
233,0.050622
195,0.039431
233,0.053425
233,0.039504
232,0.046138
232,0.056803
232,0.058245
232,0.048251
232,0.036307
233,0.024845
181,0.051413
182,0.078339
182,0.064017
233,0.041276
233,0.044258
232,0.043690
233,0.028065
232,0.071683
232,0.051054
235,0.048834
232,0.053168
232,0.052688
232,0.041645
232,0.029083
232,0.050197
232,0.035334
195,0.039724
181,0.048915
234,0.032080
181,0.032961
232,0.042641
232,0.050621
195,0.035615
232,0.035895
233,0.055451
233,0.043836
233,0.053507
182,0.053198
181,0.056926
233,0.038278
233,0.040970
233,0.033611
181,0.054573
181,0.030981
233,0.055782
232,0.042456
232,0.023169
181,0.034779
233,0.035646
233,0.046718
236,0.053089
232,0.042211
233,0.059677
232,0.042290
195,0.043831
233,0.050750
182,0.050054
195,0.055302
233,0.049965
233,0.046322
181,0.059796
182,0.053575
232,0.033375
232,0.026099
233,0.043655
182,0.060857
181,0.054779
233,0.052550
233,0.047779
181,0.074389
233,0.058500
233,0.029220
195,0.059750
233,0.046473
233,0.046000
189,0.036964
183,0.030103
232,0.061761
233,0.044897
233,0.043934
232,0.048998
233,0.038526
233,0.046266
232,0.045841
233,0.051744
181,0.049308
232,0.040254
181,0.068042
182,0.069520
187,0.052209
243,0.051558
13,0.087832
33,0.232507
90,0.179569
62,0.308709
64,0.267697
36,0.116164
36,0.111079
60,0.108234
60,0.118182
118,0.157744
113,0.154778
113,0.137437
113,0.210297
109,0.410616
107,0.232768
106,0.290732
104,0.350180
94,0.282005
94,0.150326
94,0.167693
94,0.255073
94,0.238446
94,0.186020
94,0.202158
104,0.381806
106,0.416390
107,0.291567
110,0.382640
113,0.142754
113,0.103840
118,0.178555
60,0.082588
97,0.151842
64,0.137397
76,0.130475
90,0.085735
33,0.126077
33,0.158431
115,0.217814
120,0.260565
120,0.295843
12,0.531842
13,0.231287
13,0.116819
48,0.176546
12,0.124272
229,0.077990
229,0.056933
232,0.045082
232,0.039063
196,0.055541
233,0.068351
181,0.061629
196,0.048174
232,0.038125
40,0.088200
232,0.072509
232,0.047942
