# data/codebooks/_/eps_0.0005_M_0512.cbook:
# P=36  size=512  className='_'
k1,k2
-0.86585,-0.0353293
-0.820634,0.109034
-0.627218,0.0147359
-0.664204,0.0594982
-0.593527,0.0552844
-0.712324,0.18496
-0.72756,0.199133
-0.786218,0.353612
-0.707802,0.265528
-0.659133,0.447976
-0.728804,0.423744
-0.690612,0.384867
-0.7159,0.161918
-0.734869,0.315374
-0.630929,0.26605
-0.675345,0.340225
-0.336507,0.0951859
-0.542304,0.136957
-0.356676,0.229348
-0.489525,0.226675
-0.535207,0.239069
-0.501068,0.355352
-0.605911,0.298298
-0.597735,0.328926
-0.419434,0.114649
-0.335498,0.192247
-0.257736,0.241201
-0.504007,0.12234
-0.460625,0.189931
-0.630702,0.166349
-0.558848,0.112195
-0.685291,0.213948
-0.514516,0.189133
-0.5563,0.274023
-0.483068,0.329411
-0.528138,0.266157
-0.499407,0.387221
-0.517339,0.505527
-0.575798,0.555425
-0.586686,0.547634
-0.547886,0.346149
-0.608776,0.459125
-0.550301,0.373443
-0.616661,0.448697
-0.528764,0.370038
-0.620862,0.326716
-0.626332,0.319248
-0.619525,0.522766
-0.838282,0.256515
-0.810031,0.206777
-0.786928,0.343798
-0.726053,0.517908
-0.683592,0.431214
-0.70082,0.49892
-0.743303,0.417107
-0.752811,0.451008
-0.588776,0.480371
-0.668227,0.593954
-0.743281,0.416226
-0.798265,0.417112
-0.580991,0.290997
-0.680469,0.402711
-0.729101,0.561266
-0.711347,0.546015
-0.267569,0.155765
-0.445538,0.163774
-0.328529,0.172599
-0.412431,0.216608
-0.420458,0.256615
-0.372205,0.278913
-0.27636,0.270217
-0.422002,0.29707
-0.457132,0.295622
-0.517834,0.350435
-0.489546,0.376445
-0.556865,0.535191
-0.443817,0.303312
-0.501468,0.352859
-0.575501,0.414101
-0.606257,0.437572
-0.259722,0.335252
-0.221848,0.418293
-0.255611,0.347182
-0.463565,0.528953
-0.399305,0.396068
-0.472674,0.497516
-0.482027,0.415543
-0.462127,0.454967
-0.535866,0.54562
-0.397253,0.572671
-0.628791,0.611254
-0.478035,0.574931
-0.453917,0.603975
-0.441208,0.65127
-0.42396,0.563318
-0.541654,0.702726
-0.699744,0.26882
-0.620995,0.302541
-0.792183,0.125833
-0.618202,0.292511
-0.783424,0.234917
-0.756089,0.378239
-0.677687,0.413862
-0.662302,0.299023
-0.776195,0.143317
-0.746647,0.276449
-0.683123,0.270319
-0.663503,0.200631
-0.821388,0.178437
-0.77631,0.32074
-0.5802,0.291254
-0.555808,0.527283
-0.478859,0.35053
-0.583096,0.465426
-0.596206,0.442783
-0.579891,0.515969
-0.449694,0.366973
-0.453942,0.435595
-0.554588,0.457729
-0.555618,0.547022
-0.445841,0.447526
-0.504099,0.293187
-0.5622,0.453357
-0.552081,0.514017
-0.630183,0.307499
-0.647131,0.331267
-0.656017,0.355106
-0.583735,0.587779
-0.431658,0.450619
-0.630746,0.3616
-0.455992,0.438011
-0.470462,0.513479
-0.47939,0.444932
-0.54399,0.570335
-0.467627,0.508738
-0.52465,0.575776
-0.409814,0.273157
-0.418524,0.24366
-0.493771,0.493666
-0.580049,0.591342
-0.626469,0.869031
-0.567537,0.719572
-0.403521,0.569652
-0.46785,0.565889
-0.499879,0.656527
-0.51972,0.74072
-0.598913,0.596033
-0.55107,0.693184
-0.476377,0.37802
-0.548783,0.269421
-0.649118,0.694637
-0.634676,0.764521
-0.293552,0.257881
-0.271443,0.280554
-0.397722,0.340273
-0.418352,0.302149
-0.636796,0.76054
-0.613318,0.68686
-0.521076,0.665657
-0.55189,0.645487
-0.648222,0.758393
-0.659804,0.734767
-0.575302,0.532655
-0.646557,0.801519
-0.396821,0.357212
-0.574993,0.636011
-0.544583,0.608634
-0.621122,0.696719
-0.446623,0.380272
-0.513479,0.526317
-0.644487,0.690191
-0.350543,0.597464
-0.634491,0.614657
-0.509391,0.431834
-0.490732,0.553902
-0.460759,0.570639
-0.793516,0.363632
-0.440732,0.623275
-0.367533,0.273833
-0.538224,0.457716
-0.421362,0.224363
-0.425838,0.236396
-0.424213,0.414047
-0.468468,0.515393
-0.502071,0.424734
-0.219028,0.325491
-0.498677,0.469288
-0.456171,0.537139
-0.585122,0.342259
-0.469371,0.393735
-0.570707,0.750304
-0.529285,0.596827
-0.0924175,0.361289
-0.514933,0.580953
-0.433037,0.368714
-0.427988,0.46357
-0.423802,0.528344
-0.556905,0.718935
-0.215851,0.546605
-0.477797,0.623784
-0.61481,0.601802
-0.482142,0.5437
-0.548395,0.624876
-0.544772,0.689211
-0.535403,0.694171
-0.586801,0.719656
-0.473193,0.615823
-0.460366,0.64809
-0.0566852,0.261399
-0.516996,0.597198
-0.386704,0.327435
-0.544262,0.603575
-0.579381,0.488276
-0.562407,0.495961
-0.601321,0.568935
-0.430584,0.421452
-0.651033,0.570447
-0.667831,0.605672
-0.563676,0.576013
-0.51196,0.627375
-0.576311,0.617168
-0.535643,0.603945
-0.586275,0.588419
-0.53389,0.711211
-0.624118,0.574056
-0.48424,0.518271
-0.51199,0.538721
-0.406396,0.34729
-0.596413,0.532531
-0.469923,0.519111
-0.447988,0.45243
-0.534358,0.510474
