# data/predictors/_/HBSe_20170128T231621.prd:
# className='', T=77034, P=36
k1,k2,k3
-0.233931,0.405538,-0.0952045
-0.237553,0.433098,-0.147997
-0.231338,0.432742,-0.240151
-0.226524,0.435445,-0.248828
-0.230166,0.444532,-0.313514
-0.226976,0.446535,-0.252505
-0.230825,0.407546,-0.254517
-0.242129,0.387756,-0.282279
-0.197468,0.359881,-0.255147
-0.185552,0.439674,-0.206837
-0.212054,0.395342,-0.26169
-0.179427,0.376392,-0.230822
-0.198073,0.375138,-0.220194
-0.183862,0.418083,-0.292113
-0.199073,0.414921,-0.255594
-0.188461,0.366282,-0.275108
-0.176975,0.361506,-0.26166
-0.180556,0.408647,-0.27758
-0.126292,0.442439,-0.300103
-0.176326,0.430228,-0.319385
-0.196239,0.443609,-0.322754
-0.17685,0.39758,-0.316597
-0.187446,0.410339,-0.279294
-0.269675,0.376242,-0.346
-0.260525,0.304438,-0.268948
-0.300309,0.282055,-0.211813
-0.380351,0.273074,-0.150776
-0.375786,0.2798,-0.171526
-0.343366,0.355674,-0.149776
-0.326795,0.32486,-0.208271
-0.295723,0.323164,-0.213165
-0.323452,0.35691,-0.236479
-0.254725,0.428493,-0.308835
-0.17499,0.51477,-0.419592
-0.141466,0.542512,-0.426981
-0.291119,0.467008,-0.193826
-0.425319,0.499277,0.0558552
-0.451851,0.563486,0.165601
-0.442292,0.58235,0.153279
-0.468779,0.592459,0.185443
-0.493215,0.597022,0.186514
-0.506727,0.641034,0.172795
-0.48284,0.58828,0.141592
-0.477179,0.563645,0.15345
-0.462902,0.568568,0.18457
-0.462167,0.536167,0.166466
-0.473922,0.581592,0.13818
-0.495973,0.597645,0.154357
-0.497732,0.628259,0.169068
-0.522415,0.666017,0.178768
-0.562177,0.707493,0.161487
-0.554862,0.676661,0.175917
-0.530537,0.613215,0.0956909
-0.470837,0.505082,0.0750411
-0.445895,0.46019,0.0820783
-0.428155,0.400793,0.0953681
-0.441797,0.422078,0.0729651
-0.478952,0.479349,0.113133
-0.452691,0.463736,0.0553382
-0.493198,0.524317,0.0526616
-0.488735,0.525068,0.0774112
-0.528634,0.576657,0.129702
-0.53869,0.581569,0.188642
-0.500049,0.550428,0.162519
-0.508371,0.580596,0.189728
-0.505852,0.595267,0.152018
-0.498513,0.588843,0.121864
-0.515656,0.592971,0.169882
-0.505977,0.588094,0.211353
-0.484461,0.558653,0.19844
-0.459272,0.526941,0.166253
-0.421509,0.488357,0.0197782
-0.345496,0.460742,-0.0756365
-0.444362,0.490935,0.112897
-0.490424,0.522898,0.173392
-0.482555,0.506152,0.123263
-0.468224,0.511499,0.126787
-0.469337,0.492499,0.174324
-0.463132,0.460417,0.188074
-0.43363,0.504308,0.0440219
-0.411343,0.552102,-0.0549752
-0.420606,0.546365,-0.00368198
-0.428145,0.516009,0.0385884
-0.435782,0.514506,0.0378247
-0.43472,0.543284,-0.0244448
-0.403789,0.539267,-0.0819941
-0.433353,0.540696,-0.0595304
-0.44516,0.545945,-0.058443
-0.451295,0.537294,-0.0392217
-0.529539,0.531184,0.122751
-0.51749,0.478614,0.209248
-0.453578,0.433375,0.134066
-0.412218,0.481538,0.0216232
-0.405111,0.526347,-0.0662416
-0.404588,0.52532,-0.0499509
-0.348366,0.525506,-0.102193
-0.338844,0.551711,-0.140759
-0.344762,0.526474,-0.150924
-0.362063,0.545512,-0.125087
-0.378354,0.551663,-0.0826899
-0.332816,0.550996,-0.075779
-0.313796,0.538626,-0.120408
-0.307024,0.538594,-0.138975
-0.261185,0.541213,-0.177103
-0.250404,0.566115,-0.185317
-0.23483,0.579421,-0.232854
-0.205758,0.607963,-0.22191
-0.220915,0.61471,-0.218037
-0.199156,0.630846,-0.227539
-0.189062,0.619369,-0.254899
-0.186552,0.596847,-0.288044
-0.200615,0.58363,-0.278308
-0.213546,0.564813,-0.260988
-0.210217,0.579305,-0.221058
-0.304385,0.587645,-0.134872
-0.342391,0.522039,0.0483046
-0.256154,0.414379,-0.172534
-0.237158,0.425593,-0.206457
-0.201005,0.372394,-0.210844
-0.250517,0.353867,-0.105779
-0.31345,0.357494,-0.0336909
-0.312452,0.362782,-0.0058855
-0.31094,0.335031,-0.03586
-0.266431,0.31055,-0.041098
-0.256424,0.346629,-0.0293198
-0.25669,0.362954,-0.100295
-0.213062,0.381841,-0.21593
-0.153394,0.374642,-0.244617
-0.142104,0.378583,-0.337169
-0.177683,0.40226,-0.288813
-0.240282,0.322887,-0.238064
-0.211988,0.307317,-0.139795
-0.19062,0.298856,-0.114026
-0.242869,0.251195,-0.113601
-0.212438,0.272691,-0.126578
-0.222542,0.280531,-0.103311
-0.218027,0.236488,-0.123821
-0.245945,0.255391,-0.125037
-0.235359,0.256384,-0.178462
-0.243797,0.284712,-0.154104
-0.221653,0.284797,-0.142825
-0.177267,0.316385,-0.167799
-0.205369,0.329064,-0.159309
-0.216485,0.334623,-0.0810253
-0.198236,0.326129,-0.0966791
-0.239574,0.280144,-0.132086
-0.1805,0.227631,-0.14655
-0.277629,0.256319,-0.124369
-0.293808,0.252535,-0.130182
-0.243885,0.248561,-0.156231
-0.172923,0.289751,-0.222502
-0.229186,0.238454,-0.115083
-0.242002,0.27229,-0.0967211
-0.21411,0.300343,-0.145847
-0.139094,0.309512,-0.174716
-0.179773,0.239059,-0.145828
-0.224697,0.271775,-0.114368
-0.234922,0.289474,-0.122825
-0.192623,0.354036,-0.136583
-0.18936,0.415301,-0.123075
-0.140572,0.441633,-0.0922681
-0.190063,0.483723,-0.101676
-0.193901,0.500565,-0.0811458
-0.226802,0.368503,-0.0973546
-0.26832,0.249714,-0.128019
-0.242164,0.255035,-0.163709
-0.281906,0.195862,-0.121641
-0.240906,0.256225,-0.0949414
-0.226086,0.309166,-0.133118
-0.162337,0.372695,-0.11276
-0.17544,0.362765,-0.127071
-0.172728,0.389888,-0.121103
-0.21106,0.431944,-0.147043
-0.223017,0.32215,-0.15404
-0.22852,0.262044,-0.161318
-0.186297,0.463296,-0.0934505
-0.17618,0.453952,-0.0503748
-0.238438,0.39624,-0.116449
-0.205586,0.49176,-0.087235
-0.243651,0.411877,-0.142281
-0.206307,0.333717,-0.110044
-0.228978,0.279611,-0.0621152
-0.171643,0.222334,-0.0757417
-0.227127,0.196964,-0.152756
-0.306194,0.215141,-0.092998
-0.215581,0.225095,-0.148611
-0.160785,0.237167,-0.159026
-0.232715,0.237477,-0.12594
-0.265278,0.286341,-0.189803
-0.316014,0.207243,-0.165411
-0.182104,0.303902,-0.116558
-0.147082,0.365079,-0.110692
-0.131509,0.341988,-0.172478
-0.151971,0.332821,-0.187638
-0.135558,0.304648,-0.162743
-0.114763,0.348632,-0.150353
-0.136749,0.28258,-0.203104
-0.108069,0.282773,-0.250049
-0.156323,0.32758,-0.155107
-0.192014,0.348238,-0.146822
-0.169662,0.260284,-0.161754
-0.150154,0.314,-0.184698
-0.130755,0.341663,-0.210293
-0.225339,0.309792,-0.170558
-0.208275,0.312205,-0.119381
-0.209616,0.304052,-0.156904
-0.214997,0.335979,-0.176711
-0.20113,0.301929,-0.1486
-0.134176,0.285019,-0.179717
-0.153422,0.266442,-0.250388
-0.208025,0.248169,-0.179418
-0.223468,0.272122,-0.130045
-0.171378,0.291891,-0.164039
-0.171276,0.301082,-0.131044
-0.190508,0.304054,-0.150723
-0.149745,0.255256,-0.175228
-0.192526,0.294075,-0.141072
-0.206673,0.305699,-0.124471
-0.253342,0.272475,-0.0565026
-0.233964,0.325576,-0.0736946
-0.238464,0.322411,-0.0771122
-0.149307,0.210048,-0.09137
-0.190944,0.250166,-0.102166
-0.226358,0.280129,-0.0939914
-0.199852,0.255788,-0.0754884
-0.207306,0.233875,-0.19686
-0.221738,0.238327,-0.183478
-0.273576,0.24815,-0.124034
-0.254319,0.298172,-0.113978
-0.275035,0.30369,-0.126116
-0.253528,0.286398,-0.100053
-0.25788,0.1766,-0.201545
-0.253088,0.177137,-0.123518
-0.239994,0.219837,-0.149524
-0.234018,0.219354,-0.182237
-0.228138,0.232823,-0.159404
-0.251846,0.251464,-0.0759017
-0.268574,0.273733,-0.0723239
-0.384549,0.285445,-0.102909
-0.374891,0.180074,-0.150003
-0.379037,0.25586,-0.0910808
-0.350647,0.223363,-0.157873
-0.361874,0.217125,-0.196525
-0.363418,0.182435,-0.25514
-0.295595,0.183923,-0.212799
-0.202987,0.218002,-0.167785
-0.244968,0.211408,-0.147467
-0.239467,0.159718,-0.227531
-0.25302,0.244757,-0.2247
-0.302477,0.278067,-0.120171
-0.394149,0.244464,-0.178517
-0.371977,0.182956,-0.262529
-0.325064,0.251528,-0.277394
-0.229954,0.35098,-0.254187
-0.280831,0.31323,-0.239485
-0.252076,0.288063,-0.0840871
-0.237881,0.306024,-0.111746
-0.283205,0.241733,-0.22845
-0.277273,0.226291,-0.251567
-0.256681,0.252467,-0.190623
-0.28614,0.33465,-0.207958
-0.293555,0.36287,-0.151405
-0.332302,0.424657,-0.174544
-0.342024,0.519018,-0.226148
-0.375553,0.480923,-0.363359
-0.386059,0.424848,-0.401078
