# 77034 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,8,0.039423,9.639393,84042.229567
4,26,0.021740,15.283633,80579.338187
8,28,0.011897,34.403979,78918.180990
16,32,0.006583,64.590877,78066.615782
32,24,0.003461,143.867670,77572.584686
64,28,0.001760,297.612209,77306.416769
128,28,0.000887,624.285187,77170.933938
256,27,0.000441,1268.993827,77102.001851
512,29,0.000215,2650.932634,77067.125780
1024,22,0.000105,5403.584329,77050.133396
2048,21,0.000048,11555.742511,77041.460352
