codeword,minDistortion
714,0.000047
712,0.000102
700,0.000017
692,0.000064
789,0.000062
961,0.000059
744,0.000033
612,0.000028
714,0.000004
793,0.000035
718,0.000033
652,0.000030
646,0.000063
770,0.000042
770,0.000092
727,0.000011
744,0.000007
740,0.000050
728,0.000009
750,0.000133
965,0.000082
936,0.000299
933,0.000547
932,0.000127
910,0.000033
916,0.000700
931,0.000100
934,0.000316
942,0.000099
951,0.000404
948,0.000011
272,0.000166
273,0.000018
951,0.000390
947,0.000023
257,0.000107
985,0.000256
986,0.000042
984,0.000023
986,0.000076
265,0.000039
266,0.000289
937,0.000162
981,0.000033
966,0.000103
965,0.000005
792,0.000065
775,0.000135
744,0.000000
734,0.000048
790,0.000069
694,0.000017
735,0.000048
733,0.000005
735,0.000002
731,0.000013
682,0.000047
719,0.000041
686,0.000011
718,0.000046
786,0.000023
970,0.000020
794,0.000076
785,0.000022
734,0.000031
733,0.000050
784,0.000001
782,0.000006
792,0.000011
779,0.000001
725,0.000101
786,0.000038
789,0.000020
745,0.000026
962,0.000026
788,0.000019
733,0.000055
695,0.000004
698,0.000033
741,0.000058
791,0.000059
701,0.000017
904,0.000123
549,0.000323
561,0.000167
563,0.000403
560,0.000336
562,0.000048
562,0.000213
551,0.000257
901,0.000359
903,0.000363
899,0.000109
560,0.000362
561,0.000009
563,0.000361
900,0.000330
558,0.000193
562,0.000413
549,0.000350
902,0.000143
900,0.000141
902,0.000293
907,0.000035
929,0.000158
758,0.000402
767,0.000159
766,0.000153
981,0.000077
639,0.000154
928,0.000152
931,0.000067
909,0.000169
910,0.000066
911,0.000214
917,0.001360
911,0.000578
931,0.000224
930,0.000061
931,0.000209
930,0.000001
932,0.000033
930,0.000041
758,0.000278
904,0.000019
604,0.000084
602,0.000025
604,0.000137
664,0.000040
696,0.000009
728,0.000032
676,0.000003
716,0.000029
780,0.000148
679,0.000022
605,0.000109
703,0.000061
791,0.000086
732,0.000058
716,0.000024
685,0.000011
744,0.000014
742,0.000010
607,0.000307
561,0.001129
569,0.000665
569,0.002750
564,0.001284
559,0.000478
568,0.003224
568,0.001109
570,0.003194
571,0.000393
571,0.000198
571,0.001019
570,0.002934
569,0.001288
566,0.000099
911,0.000235
931,0.000402
946,0.000259
939,0.000019
266,0.000103
947,0.000241
938,0.000515
897,0.000157
548,0.000010
606,0.000284
559,0.000544
557,0.000331
556,0.000028
555,0.000238
557,0.000037
556,0.000486
550,0.000205
546,0.000128
544,0.000172
604,0.000010
904,0.000276
756,0.000057
791,0.000072
752,0.000001
981,0.000124
751,0.000009
758,0.000037
758,0.000027
758,0.000184
758,0.000282
928,0.000321
751,0.000009
764,0.000088
699,0.000064
906,0.000087
756,0.000177
631,0.000084
754,0.000076
638,0.000195
638,0.000109
752,0.000001
629,0.000087
637,0.000039
548,0.000002
905,0.000111
639,0.000073
637,0.000089
638,0.000105
763,0.000112
962,0.000003
817,0.000098
834,0.000029
834,0.000027
826,0.000206
825,0.000092
977,0.000030
984,0.000197
765,0.000286
903,0.000291
562,0.000219
938,0.000111
289,0.000269
294,0.000085
304,0.000161
306,0.000339
309,0.000001
353,0.000124
308,0.000169
308,0.000408
295,0.000039
293,0.000116
308,0.000149
309,0.000043
315,0.000024
360,0.000029
365,0.000245
364,0.000105
356,0.000277
297,0.000070
1017,0.000138
1010,0.000114
1014,0.000034
298,0.000078
1017,0.000023
302,0.000013
302,0.000051
388,0.000089
389,0.000072
303,0.000031
311,0.000048
311,0.000256
309,0.000278
311,0.000253
311,0.000104
301,0.000124
291,0.000244
288,0.000066
990,0.000135
290,0.000020
302,0.000031
297,0.000276
297,0.000159
296,0.000175
1018,0.000024
289,0.000037
268,0.000047
270,0.000191
289,0.000127
289,0.000110
270,0.000284
267,0.000263
270,0.000256
292,0.000196
292,0.000138
385,0.000316
36,0.000018
1015,0.000124
288,0.000292
267,0.000265
267,0.000248
946,0.000228
949,0.000195
946,0.000153
947,0.000653
266,0.000240
948,0.000228
945,0.000164
941,0.000486
935,0.000576
920,0.000954
917,0.000641
918,0.000290
919,0.000438
915,0.000071
915,0.000479
914,0.000198
918,0.000678
916,0.000136
918,0.000474
943,0.000327
946,0.000043
765,0.000010
758,0.000055
754,0.000012
761,0.000162
984,0.000073
984,0.000035
824,0.000036
963,0.000037
965,0.000018
762,0.000055
755,0.000089
633,0.000004
603,0.000120
637,0.000036
746,0.000004
741,0.000004
692,0.000026
786,0.000088
733,0.000031
734,0.000013
778,0.000011
787,0.000089
786,0.000006
789,0.000017
735,0.000045
690,0.000053
701,0.000064
702,0.000018
700,0.000048
789,0.000025
722,0.000081
797,0.000008
816,0.000068
783,0.000055
686,0.000016
779,0.000001
787,0.000079
741,0.000050
616,0.000055
722,0.000030
734,0.000052
790,0.000039
699,0.000065
638,0.000026
897,0.000075
908,0.000314
908,0.000218
749,0.000039
793,0.000031
786,0.000061
806,0.000223
786,0.000041
745,0.000059
630,0.000059
631,0.000062
636,0.000016
928,0.000169
743,0.000002
785,0.000008
907,0.000106
906,0.000169
751,0.000237
909,0.000313
765,0.000295
701,0.000038
788,0.000041
714,0.000069
774,0.000159
812,0.000109
777,0.000036
713,0.000065
779,0.000026
968,0.000044
812,0.000035
687,0.000033
632,0.000035
670,0.000057
618,0.000003
610,0.000033
597,0.000066
677,0.000040
660,0.000017
619,0.000044
698,0.000030
682,0.000005
617,0.000020
670,0.000047
744,0.000069
695,0.000064
741,0.000039
702,0.000003
739,0.000038
655,0.000040
675,0.000032
726,0.000023
734,0.000036
686,0.000022
689,0.000013
693,0.000046
674,0.000006
692,0.000000
741,0.000092
960,0.000037
747,0.000067
746,0.000016
707,0.000030
723,0.000026
734,0.000053
730,0.000006
725,0.000025
778,0.000042
797,0.000100
961,0.000068
970,0.000072
961,0.000032
802,0.000168
802,0.000056
781,0.000083
782,0.000031
779,0.000045
794,0.000038
795,0.000079
835,0.000041
140,0.000075
833,0.000115
137,0.000159
139,0.000154
140,0.000194
810,0.000110
776,0.000069
781,0.000094
801,0.000018
792,0.000063
817,0.000026
836,0.000200
140,0.000106
818,0.000053
748,0.000085
976,0.000051
961,0.000011
791,0.000103
796,0.000048
796,0.000118
794,0.000014
978,0.000023
980,0.000127
987,0.000320
946,0.000010
264,0.000137
259,0.000111
259,0.000055
261,0.000219
1013,0.000122
1007,0.000190
865,0.000004
151,0.000160
841,0.000080
142,0.000102
865,0.000098
860,0.000024
26,0.000116
872,0.000064
153,0.000041
156,0.000104
156,0.000146
180,0.000308
188,0.000009
179,0.000257
187,0.000255
188,0.000108
179,0.000088
156,0.000329
152,0.000022
146,0.000128
135,0.000146
135,0.000198
135,0.000267
146,0.000154
148,0.000033
147,0.000269
145,0.000131
135,0.000044
134,0.000521
136,0.000172
140,0.000156
141,0.000222
141,0.000147
136,0.000193
808,0.000256
130,0.000064
796,0.000060
816,0.000014
793,0.000114
806,0.000031
782,0.000057
793,0.000029
792,0.000042
777,0.000053
781,0.000038
778,0.000093
775,0.000127
783,0.000080
816,0.000117
785,0.000024
780,0.000084
772,0.000037
801,0.000173
719,0.000028
613,0.000022
713,0.000095
771,0.000119
776,0.000043
723,0.000015
726,0.000007
651,0.000002
669,0.000009
700,0.000011
801,0.000393
802,0.000019
775,0.000014
782,0.000013
793,0.000042
781,0.000046
771,0.000053
716,0.000026
677,0.000004
614,0.000031
630,0.000020
785,0.000000
781,0.000108
733,0.000079
722,0.000075
729,0.000041
735,0.000045
797,0.000030
804,0.000097
777,0.000048
786,0.000027
789,0.000035
960,0.000078
961,0.000052
685,0.000006
784,0.000044
794,0.000001
797,0.000043
788,0.000089
685,0.000035
729,0.000031
725,0.000040
612,0.000011
695,0.000043
781,0.000033
779,0.000042
779,0.000008
794,0.000080
805,0.000155
612,0.000012
729,0.000039
723,0.000038
790,0.000038
726,0.000050
725,0.000004
777,0.000051
969,0.000019
787,0.000022
680,0.000008
723,0.000040
791,0.000050
960,0.000062
794,0.000052
770,0.000109
770,0.000110
769,0.000143
782,0.000097
802,0.000122
771,0.000054
730,0.000030
721,0.000049
773,0.000157
794,0.000061
777,0.000030
780,0.000117
805,0.000037
790,0.000011
783,0.000074
777,0.000055
723,0.000012
777,0.000024
793,0.000012
733,0.000001
736,0.000030
731,0.000003
728,0.000014
718,0.000024
645,0.000046
672,0.000059
678,0.000034
786,0.000061
729,0.000020
733,0.000045
732,0.000057
730,0.000039
727,0.000030
733,0.000059
961,0.000028
743,0.000034
734,0.000010
970,0.000038
962,0.000053
736,0.000009
722,0.000010
736,0.000009
796,0.000061
780,0.000031
781,0.000015
774,0.000012
804,0.000127
813,0.000016
815,0.000086
141,0.000139
143,0.000008
840,0.000105
814,0.000141
828,0.000079
149,0.000222
173,0.000281
173,0.000432
176,0.000503
178,0.000366
152,0.000257
156,0.000423
179,0.000191
188,0.000370
187,0.000504
189,0.000133
224,0.000309
228,0.000954
104,0.000259
104,0.000159
105,0.000287
106,0.000246
91,0.000350
93,0.000455
93,0.000378
91,0.000728
113,0.000474
114,0.000123
121,0.000903
111,0.002097
240,0.000249
230,0.000066
99,0.000963
230,0.000173
248,0.000026
249,0.001952
111,0.000329
226,0.000933
878,0.000097
224,0.000111
177,0.000153
844,0.000123
839,0.000129
143,0.000123
147,0.000205
165,0.000047
145,0.000228
145,0.000163
164,0.000348
840,0.000109
141,0.000218
138,0.000108
806,0.000084
806,0.000021
794,0.000012
807,0.000037
814,0.000092
811,0.000142
130,0.000174
128,0.000199
811,0.000175
130,0.000189
782,0.000084
804,0.000019
140,0.000130
133,0.000154
813,0.000118
795,0.000079
973,0.000087
797,0.000009
786,0.000053
805,0.000092
728,0.000045
778,0.000049
672,0.000059
620,0.000020
661,0.000052
612,0.000037
678,0.000026
744,0.000060
961,0.000044
733,0.000039
735,0.000005
689,0.000014
788,0.000029
648,0.000072
616,0.000018
733,0.000033
794,0.000087
779,0.000063
787,0.000109
784,0.000022
725,0.000021
775,0.000030
727,0.000002
733,0.000054
731,0.000001
676,0.000054
647,0.000047
729,0.000003
719,0.000073
730,0.000043
780,0.000053
805,0.000071
733,0.000068
740,0.000059
722,0.000041
732,0.000005
682,0.000014
785,0.000060
795,0.000021
738,0.000004
739,0.000069
730,0.000032
733,0.000051
778,0.000016
770,0.000109
773,0.000013
772,0.000133
726,0.000080
778,0.000111
774,0.000012
772,0.000089
772,0.000130
721,0.000012
794,0.000050
732,0.000067
781,0.000084
737,0.000042
730,0.000037
727,0.000017
613,0.000026
788,0.000020
724,0.000013
770,0.000143
775,0.000085
725,0.000067
715,0.000017
682,0.000005
734,0.000045
727,0.000000
729,0.000043
716,0.000014
734,0.000060
722,0.000027
733,0.000025
795,0.000059
786,0.000059
778,0.000048
673,0.000039
719,0.000030
782,0.000002
779,0.000026
792,0.000016
726,0.000020
782,0.000089
721,0.000022
782,0.000059
771,0.000314
683,0.000029
817,0.000075
730,0.000025
801,0.000238
812,0.000108
794,0.000010
744,0.000007
797,0.000030
813,0.000015
812,0.000146
137,0.000063
813,0.000001
818,0.000031
139,0.000066
146,0.000112
188,0.000111
191,0.000578
229,0.000303
231,0.000244
231,0.000253
235,0.000139
237,0.000120
236,0.000269
191,0.000000
228,0.000393
233,0.000213
233,0.000342
234,0.000435
240,0.000541
235,0.000793
235,0.000172
243,0.000405
252,0.000036
249,0.001204
191,0.000018
178,0.000267
190,0.000115
211,0.000361
233,0.000283
236,0.000430
159,0.000333
143,0.000203
196,0.000386
198,0.000435
186,0.000548
201,0.000237
200,0.000804
200,0.000125
196,0.000676
164,0.000478
147,0.000121
135,0.000147
139,0.000148
742,0.000054
761,0.000109
763,0.000322
685,0.000021
787,0.000035
800,0.000574
799,0.000073
795,0.000004
721,0.000076
817,0.000132
977,0.000045
979,0.000010
983,0.000151
939,0.000287
748,0.000035
735,0.000029
794,0.000038
804,0.000096
769,0.000338
772,0.000122
797,0.000043
721,0.000084
792,0.000083
795,0.000020
795,0.000124
702,0.000064
609,0.000025
716,0.000022
725,0.000022
774,0.000059
800,0.000397
772,0.000028
682,0.000031
614,0.000020
727,0.000039
721,0.000074
782,0.000049
594,0.000075
583,0.000030
770,0.000005
771,0.000111
675,0.000028
722,0.000041
777,0.000083
616,0.000003
724,0.000012
776,0.000010
724,0.000054
732,0.000073
625,0.000036
660,0.000044
706,0.000147
780,0.000075
714,0.000136
576,0.000098
577,0.000432
641,0.000475
707,0.000083
705,0.000137
586,0.000069
757,0.000075
699,0.000085
697,0.000034
604,0.000170
636,0.000054
623,0.000030
761,0.000136
755,0.000019
905,0.000046
607,0.000230
627,0.000047
713,0.000099
733,0.000044
619,0.000067
741,0.000020
737,0.000013
718,0.000023
679,0.000006
961,0.000019
798,0.000084
780,0.000089
782,0.000045
725,0.000001
686,0.000006
796,0.000079
780,0.000025
776,0.000074
608,0.000022
726,0.000068
792,0.000032
972,0.000225
702,0.000072
756,0.000080
703,0.000023
694,0.000051
749,0.000029
977,0.000047
793,0.000029
770,0.000056
770,0.000145
725,0.000043
726,0.000048
779,0.000017
740,0.000013
621,0.000010
796,0.000046
779,0.000015
781,0.000104
801,0.000078
720,0.000044
740,0.000042
622,0.000016
618,0.000029
627,0.000012
752,0.000005
693,0.000027
702,0.000048
738,0.000023
772,0.000284
679,0.000026
968,0.000028
792,0.000073
781,0.000033
725,0.000047
715,0.000003
724,0.000031
796,0.000070
803,0.000138
772,0.000108
805,0.000111
679,0.000011
781,0.000067
720,0.000008
774,0.000071
773,0.000002
807,0.000085
796,0.000057
136,0.000058
142,0.000088
143,0.000020
867,0.000119
862,0.000129
863,0.000016
871,0.000216
67,0.000195
66,0.000052
846,0.000162
143,0.000163
815,0.000111
835,0.000097
814,0.000000
836,0.000143
851,0.000226
850,0.000092
6,0.000008
8,0.000179
1023,0.000088
2,0.000081
997,0.000167
1007,0.000019
1003,0.000086
0,0.000166
2,0.000110
1,0.000127
1021,0.000153
0,0.000135
1006,0.000039
6,0.000005
1015,0.000012
1009,0.000078
1011,0.000267
1006,0.000018
997,0.000037
1009,0.000038
261,0.000180
1009,0.000270
1006,0.000110
1008,0.000252
257,0.000194
991,0.000206
259,0.000319
257,0.000160
257,0.000309
937,0.000017
990,0.000111
991,0.000143
257,0.000324
256,0.000078
257,0.000231
259,0.000044
1010,0.000160
261,0.000213
259,0.000012
290,0.000284
296,0.000108
1017,0.000064
261,0.000178
257,0.000086
1022,0.000151
2,0.000160
257,0.000036
258,0.000080
992,0.000176
998,0.000061
1,0.000108
1008,0.000068
992,0.000018
992,0.000149
827,0.000055
985,0.000314
980,0.000058
985,0.000118
1009,0.000253
995,0.000266
256,0.000073
259,0.000298
257,0.000128
257,0.000318
995,0.000069
825,0.000066
976,0.000068
826,0.000033
996,0.000044
996,0.000306
825,0.000143
966,0.000117
964,0.000121
795,0.000032
975,0.000076
830,0.000015
825,0.000056
761,0.000083
761,0.000050
746,0.000093
965,0.000148
963,0.000101
973,0.000129
976,0.000158
969,0.000121
973,0.000118
963,0.000026
976,0.000058
977,0.000160
794,0.000032
973,0.000006
974,0.000011
961,0.000056
977,0.000055
964,0.000119
964,0.000005
790,0.000092
961,0.000120
965,0.000138
760,0.000100
787,0.000012
817,0.000118
816,0.000075
963,0.000089
786,0.000047
