# data/codebooks/_/eps_0.0005_M_1024.cbook:
# P=2  size=1024  className='_'
k1,k2
-0.435239,0.361751
-0.447491,0.369176
-0.437359,0.386327
-0.445883,0.40443
-0.456969,0.353924
-0.471236,0.351692
-0.468628,0.372962
-0.482992,0.378898
-0.481353,0.402522
-0.487673,0.42173
-0.49766,0.395926
-0.510362,0.408456
-0.501153,0.420636
-0.513643,0.435309
-0.521629,0.414197
-0.532306,0.43208
-0.522284,0.284597
-0.53639,0.283538
-0.537794,0.259594
-0.553794,0.270809
-0.534768,0.307828
-0.550846,0.322845
-0.552798,0.297253
-0.567329,0.302562
-0.488611,0.354706
-0.501991,0.368523
-0.511912,0.383964
-0.523845,0.38973
-0.535308,0.381637
-0.545672,0.390879
-0.534665,0.407604
-0.548056,0.418142
-0.486919,0.44622
-0.501892,0.444231
-0.490906,0.467993
-0.504947,0.471214
-0.516454,0.481901
-0.520057,0.499067
-0.531988,0.480713
-0.546046,0.482838
-0.521452,0.456979
-0.534598,0.463027
-0.542265,0.449544
-0.553224,0.4434
-0.554384,0.464692
-0.561947,0.477923
-0.573429,0.46884
-0.576499,0.492492
-0.560407,0.495302
-0.558201,0.512897
-0.570892,0.516561
-0.582152,0.51597
-0.58011,0.546517
-0.591734,0.558115
-0.59379,0.53002
-0.606305,0.530777
-0.586902,0.453059
-0.59758,0.459958
-0.590347,0.486521
-0.601032,0.503064
-0.606065,0.476312
-0.621958,0.489082
-0.614143,0.507171
-0.627617,0.523806
-0.564069,0.336577
-0.570511,0.353505
-0.561264,0.376939
-0.574559,0.3851
-0.586018,0.370341
-0.58937,0.396734
-0.601065,0.376968
-0.616115,0.38115
-0.558621,0.403613
-0.569644,0.414138
-0.564503,0.438958
-0.575236,0.44191
-0.584251,0.418932
-0.595304,0.423704
-0.603055,0.43951
-0.616773,0.458948
-0.605635,0.406782
-0.615425,0.418631
-0.626017,0.438827
-0.638298,0.447386
-0.651244,0.402884
-0.66752,0.385758
-0.653199,0.440344
-0.666234,0.43121
-0.653849,0.355916
-0.673106,0.340006
-0.693935,0.331596
-0.712891,0.330603
-0.683231,0.425221
-0.698385,0.388103
-0.700954,0.451728
-0.723994,0.451928
-0.601606,0.158971
-0.618844,0.1915
-0.648211,0.21126
-0.66723,0.230412
-0.616772,0.27337
-0.639005,0.251273
-0.648793,0.288628
-0.672461,0.286661
-0.68907,0.244481
-0.710249,0.263792
-0.728667,0.270724
-0.751483,0.271733
-0.729361,0.220007
-0.750715,0.22352
-0.7727,0.246625
-0.791829,0.235616
-0.722408,0.380051
-0.745326,0.340377
-0.749574,0.408654
-0.765766,0.393277
-0.741563,0.472043
-0.757426,0.47958
-0.779899,0.555624
-0.798339,0.597201
-0.773549,0.311142
-0.786489,0.364328
-0.792682,0.323748
-0.81052,0.312011
-0.784149,0.429239
-0.811029,0.42009
-0.835444,0.440769
-0.846263,0.442399
-0.260826,0.101524
-0.304696,0.0957353
-0.30574,0.14627
-0.332254,0.130259
-0.327246,0.160856
-0.345683,0.178806
-0.361108,0.144507
-0.38431,0.14235
