codeword,minDistortion
1,0.009157
1,0.009359
1,0.000752
1,0.000380
1,0.005749
1,0.007525
1,0.002695
1,0.001302
1,0.008296
1,0.014234
1,0.003999
1,0.009612
1,0.018414
1,0.014328
1,0.012818
1,0.003230
1,0.003028
1,0.001150
1,0.001748
1,0.014804
1,0.011409
1,0.056515
1,0.054592
1,0.046387
1,0.080740
1,0.081614
1,0.070658
1,0.088223
1,0.145520
0,0.189036
1,0.156141
0,0.159420
0,0.161311
0,0.168474
0,0.127051
0,0.094694
1,0.050687
1,0.065456
1,0.043342
1,0.066618
0,0.094764
0,0.111691
1,0.071289
1,0.035606
1,0.018180
1,0.012947
1,0.013558
1,0.012621
1,0.002989
1,0.002611
1,0.006304
1,0.000426
1,0.003114
1,0.001938
1,0.003311
1,0.001308
1,0.002054
1,0.003164
1,0.000306
1,0.004320
1,0.007880
1,0.016688
1,0.012114
1,0.004821
1,0.003634
1,0.001718
1,0.005283
1,0.009830
1,0.012673
1,0.007323
1,0.005166
1,0.007105
1,0.006949
1,0.003898
1,0.010732
1,0.005318
1,0.002219
1,0.000990
1,0.002664
1,0.001392
1,0.006330
1,0.002397
1,0.019706
1,0.055653
1,0.104051
1,0.125224
1,0.096445
1,0.087169
1,0.086224
1,0.075220
1,0.072669
1,0.057488
1,0.046581
1,0.072986
1,0.111876
1,0.106326
1,0.051197
1,0.095452
1,0.094439
1,0.053556
1,0.051869
1,0.048783
1,0.049175
1,0.035059
1,0.034144
1,0.030681
1,0.037298
1,0.034843
1,0.041277
1,0.027873
1,0.029442
1,0.071252
1,0.066015
1,0.084696
1,0.118645
1,0.132345
1,0.098706
1,0.071111
1,0.051361
1,0.061889
1,0.048170
1,0.053290
1,0.050202
1,0.022482
1,0.017784
1,0.016735
1,0.010423
1,0.018302
1,0.008154
1,0.000326
1,0.001496
1,0.004912
1,0.004737
1,0.011235
1,0.001593
1,0.014184
1,0.003826
1,0.005926
1,0.001853
1,0.004236
1,0.000116
1,0.003156
1,0.001730
1,0.021942
1,0.136476
1,0.271916
1,0.335057
1,0.181840
1,0.163990
1,0.277488
1,0.254464
1,0.471880
1,0.705457
1,0.724159
1,0.624977
1,0.550218
1,0.329609
1,0.198654
1,0.102592
1,0.069825
1,0.122390
1,0.081188
0,0.119017
0,0.139725
1,0.053332
1,0.029831
1,0.033281
1,0.027969
1,0.124133
1,0.140692
1,0.095072
1,0.077039
1,0.138746
1,0.103981
1,0.057560
1,0.035870
1,0.026957
1,0.018777
1,0.014651
1,0.012021
