index,cardinality,distortion
0,27,0.000045
1,26,0.000040
2,31,0.000052
3,29,0.000060
4,26,0.000039
5,40,0.000044
6,30,0.000048
7,26,0.000048
8,45,0.000055
9,43,0.000045
10,39,0.000048
11,42,0.000061
12,31,0.000051
13,34,0.000039
14,34,0.000032
15,37,0.000052
16,25,0.000037
17,31,0.000038
18,35,0.000048
19,43,0.000066
20,43,0.000061
21,42,0.000048
22,40,0.000052
23,48,0.000054
24,46,0.000057
25,47,0.000045
26,37,0.000045
27,37,0.000076
28,41,0.000050
29,40,0.000042
30,42,0.000048
31,32,0.000054
32,37,0.000053
33,41,0.000063
34,40,0.000055
35,33,0.000068
36,52,0.000066
37,32,0.000062
38,36,0.000078
39,33,0.000065
40,34,0.000054
41,40,0.000061
42,53,0.000070
43,29,0.000048
44,36,0.000049
45,28,0.000042
46,27,0.000036
47,35,0.000071
48,32,0.000043
49,50,0.000050
50,35,0.000042
51,42,0.000056
52,32,0.000044
53,35,0.000050
54,30,0.000047
55,45,0.000050
56,43,0.000055
57,33,0.000046
58,34,0.000037
59,47,0.000049
60,44,0.000046
61,35,0.000042
62,42,0.000054
63,43,0.000060
64,29,0.000056
65,39,0.000070
66,28,0.000046
67,32,0.000063
68,30,0.000066
69,33,0.000056
70,25,0.000049
71,23,0.000057
72,38,0.000070
73,33,0.000045
74,34,0.000067
75,30,0.000064
76,36,0.000060
77,34,0.000049
78,30,0.000046
79,25,0.000056
80,19,0.000027
81,32,0.000052
82,34,0.000044
83,38,0.000046
84,31,0.000062
85,26,0.000032
86,41,0.000055
87,38,0.000041
88,27,0.000041
89,35,0.000043
90,21,0.000036
91,34,0.000054
92,29,0.000048
93,37,0.000061
94,24,0.000052
95,26,0.000053
96,24,0.000044
97,28,0.000050
98,19,0.000046
99,32,0.000055
100,33,0.000068
101,24,0.000070
102,29,0.000050
103,27,0.000066
104,29,0.000093
105,26,0.000084
106,24,0.000082
107,14,0.000078
108,21,0.000082
109,28,0.000100
110,25,0.000075
111,15,0.000079
112,28,0.000069
113,25,0.000049
114,24,0.000053
115,25,0.000038
116,25,0.000062
117,17,0.000036
118,23,0.000058
119,27,0.000087
120,13,0.000058
121,23,0.000054
122,25,0.000078
123,23,0.000123
124,20,0.000074
125,24,0.000091
126,24,0.000093
127,20,0.000127
128,32,0.000060
129,33,0.000050
130,40,0.000051
131,33,0.000063
132,24,0.000049
133,49,0.000061
134,41,0.000049
135,35,0.000055
136,32,0.000060
137,30,0.000061
138,29,0.000058
139,23,0.000040
140,34,0.000065
141,24,0.000046
142,22,0.000046
143,20,0.000055
144,42,0.000066
145,30,0.000068
146,33,0.000053
147,31,0.000070
148,22,0.000057
149,32,0.000065
150,36,0.000044
151,34,0.000060
152,29,0.000075
153,29,0.000060
154,23,0.000057
155,26,0.000067
156,18,0.000042
157,23,0.000062
158,25,0.000079
159,23,0.000090
160,25,0.000071
161,24,0.000067
162,30,0.000068
163,14,0.000080
164,20,0.000076
165,19,0.000091
166,23,0.000089
167,12,0.000066
168,23,0.000065
169,13,0.000100
170,14,0.000106
171,11,0.000157
172,20,0.000130
173,15,0.000086
174,19,0.000083
175,15,0.000117
176,17,0.000085
177,14,0.000084
178,9,0.000094
179,13,0.000106
180,13,0.000244
181,14,0.000124
182,9,0.000202
183,10,0.000212
184,19,0.000144
185,12,0.000132
186,10,0.000209
187,11,0.000332
188,10,0.000219
189,8,0.000163
190,7,0.000285
191,5,0.000224
192,13,0.000072
193,7,0.000137
194,13,0.000114
195,16,0.000179
196,12,0.000132
197,14,0.000145
198,10,0.000121
199,9,0.000138
200,38,0.000123
201,28,0.000122
202,15,0.000108
203,21,0.000131
204,14,0.000094
205,15,0.000160
206,12,0.000116
207,8,0.000072
208,12,0.000180
209,9,0.000201
210,6,0.000165
211,8,0.000134
212,11,0.000231
213,7,0.000096
214,7,0.000074
215,12,0.000235
216,9,0.000179
217,14,0.000264
218,9,0.000077
219,11,0.000163
220,11,0.000155
221,8,0.000220
222,10,0.000114
223,3,0.000126
224,9,0.000260
225,6,0.000341
226,14,0.000281
227,10,0.000457
228,4,0.000362
229,4,0.000152
230,8,0.000237
231,3,0.000420
232,4,0.000131
233,6,0.000319
234,5,0.000135
235,4,0.000565
236,1,0.000000
237,1,0.000000
238,1,0.000000
239,1,0.000000
240,8,0.000305
241,9,0.000166
242,10,0.000145
243,7,0.000299
244,5,0.000122
245,3,0.000259
246,4,0.000106
247,5,0.000127
248,8,0.000397
249,4,0.000680
250,2,0.000088
251,3,0.000783
252,0,NaN
253,2,0.000068
254,2,0.000579
255,1,-0.000000
256,1,0.000000
257,16,0.000236
258,14,0.000441
259,12,0.000225
260,25,0.000074
261,22,0.000073
262,24,0.000134
263,18,0.000076
264,26,0.000051
265,22,0.000054
266,32,0.000092
267,34,0.000060
268,21,0.000100
269,24,0.000095
270,20,0.000076
271,20,0.000095
272,31,0.000043
273,34,0.000061
274,54,0.000042
275,48,0.000061
276,35,0.000061
277,42,0.000062
278,36,0.000041
279,35,0.000043
280,26,0.000103
281,26,0.000083
282,33,0.000061
283,39,0.000077
284,30,0.000055
285,32,0.000058
286,36,0.000051
287,36,0.000080
288,22,0.000049
289,30,0.000042
290,33,0.000072
291,24,0.000056
292,24,0.000071
293,26,0.000062
294,22,0.000067
295,20,0.000067
296,23,0.000059
297,34,0.000052
298,33,0.000068
299,34,0.000076
300,35,0.000072
301,39,0.000069
302,41,0.000078
303,48,0.000058
304,22,0.000063
305,27,0.000072
306,20,0.000082
307,23,0.000092
308,29,0.000077
309,21,0.000063
310,38,0.000065
311,27,0.000069
312,24,0.000104
313,21,0.000087
314,28,0.000102
315,19,0.000075
316,29,0.000071
317,19,0.000067
318,28,0.000066
319,22,0.000084
320,3,0.000148
321,10,0.000219
322,17,0.000111
323,19,0.000109
324,10,0.000090
325,13,0.000126
326,16,0.000140
327,24,0.000081
328,18,0.000091
329,23,0.000075
330,20,0.000084
331,21,0.000067
332,29,0.000081
333,30,0.000086
334,16,0.000064
335,21,0.000088
336,8,0.000247
337,13,0.000312
338,18,0.000124
339,16,0.000192
340,22,0.000101
341,12,0.000083
342,25,0.000097
343,19,0.000122
344,16,0.000097
345,26,0.000118
346,22,0.000121
347,21,0.000124
348,15,0.000082
349,8,0.000069
350,12,0.000097
351,13,0.000095
352,17,0.000080
353,14,0.000056
354,19,0.000058
355,21,0.000107
356,14,0.000076
357,12,0.000060
358,10,0.000135
359,15,0.000153
360,18,0.000082
361,19,0.000083
362,19,0.000088
363,21,0.000129
364,24,0.000071
365,25,0.000070
366,29,0.000108
367,15,0.000055
368,8,0.000120
369,15,0.000125
370,9,0.000104
371,15,0.000098
372,10,0.000127
373,13,0.000131
374,14,0.000099
375,12,0.000087
376,13,0.000171
377,13,0.000180
378,9,0.000071
379,15,0.000130
380,10,0.000167
381,12,0.000148
382,24,0.000193
383,12,0.000135
384,13,0.000428
385,10,0.000226
386,17,0.000138
387,16,0.000158
388,7,0.000287
389,4,0.000272
390,15,0.000224
391,9,0.000621
392,18,0.000118
393,15,0.000115
394,7,0.000053
395,16,0.000072
396,14,0.000110
397,17,0.000111
398,21,0.000158
399,7,0.000055
400,18,0.000116
401,10,0.000200
402,14,0.000092
403,10,0.000064
404,10,0.000092
405,10,0.000068
406,9,0.000190
407,6,0.000068
408,9,0.000332
409,14,0.000237
410,5,0.000411
411,10,0.000239
412,8,0.000161
413,11,0.000170
414,7,0.000070
415,10,0.000167
416,12,0.000114
417,15,0.000118
418,14,0.000135
419,12,0.000077
420,16,0.000078
421,16,0.000131
422,9,0.000168
423,19,0.000199
424,13,0.000131
425,13,0.000138
426,9,0.000081
427,11,0.000080
428,9,0.000095
429,12,0.000121
430,6,0.000166
431,7,0.000054
432,4,0.000051
433,9,0.000107
434,14,0.000141
435,12,0.000127
436,8,0.000167
437,5,0.000156
438,4,0.000272
439,4,0.000219
440,16,0.000151
441,9,0.000129
442,7,0.000123
443,4,0.000796
444,12,0.000376
445,6,0.000172
446,2,0.000022
447,2,0.000272
448,12,0.000240
449,15,0.000087
450,13,0.000113
451,12,0.000103
452,10,0.000166
453,16,0.000123
454,19,0.000151
455,11,0.000166
456,15,0.000159
457,14,0.000098
458,10,0.000089
459,17,0.000183
460,18,0.000183
461,15,0.000176
462,12,0.000102
463,14,0.000116
464,17,0.000092
465,11,0.000135
466,15,0.000151
467,12,0.000149
468,10,0.000132
469,12,0.000166
470,8,0.000096
471,11,0.000162
472,10,0.000090
473,18,0.000119
474,11,0.000076
475,7,0.000061
476,7,0.000058
477,9,0.000305
478,10,0.000153
479,7,0.000246
480,12,0.000158
481,10,0.000135
482,13,0.000117
483,9,0.000255
484,10,0.000110
485,5,0.000184
486,9,0.000267
487,6,0.000235
488,7,0.000112
489,12,0.000214
490,3,0.000154
491,3,0.000184
492,6,0.000353
493,3,0.000152
494,4,0.000448
495,3,0.000039
496,5,0.000361
497,5,0.000061
498,6,0.000287
499,5,0.000164
500,3,0.000330
501,7,0.000365
502,7,0.000429
503,6,0.000225
504,6,0.000231
505,2,0.000072
506,7,0.000305
507,3,0.000983
508,6,0.000305
509,3,0.000583
510,4,0.000099
511,2,0.000195
512,14,0.000071
513,26,0.000093
514,22,0.000063
515,23,0.000068
516,29,0.000091
517,30,0.000068
518,28,0.000062
519,28,0.000068
520,15,0.000067
521,26,0.000077
522,22,0.000060
523,26,0.000072
524,20,0.000092
525,14,0.000078
526,24,0.000117
527,27,0.000094
528,17,0.000098
529,19,0.000090
530,8,0.000040
531,17,0.000096
532,18,0.000076
533,18,0.000141
534,19,0.000103
535,16,0.000089
536,15,0.000093
537,15,0.000079
538,26,0.000087
539,24,0.000081
540,18,0.000065
541,19,0.000081
542,16,0.000073
543,17,0.000073
544,17,0.000194
545,16,0.000101
546,14,0.000141
547,15,0.000110
548,13,0.000089
549,13,0.000137
550,7,0.000118
551,11,0.000188
552,13,0.000110
553,18,0.000135
554,13,0.000112
555,21,0.000106
556,20,0.000096
557,17,0.000059
558,13,0.000077
559,22,0.000109
560,18,0.000100
561,11,0.000120
562,15,0.000200
563,13,0.000133
564,13,0.000160
565,11,0.000152
566,13,0.000141
567,10,0.000213
568,8,0.000275
569,13,0.000184
570,14,0.000222
571,11,0.000306
572,12,0.000140
573,12,0.000143
574,7,0.000053
575,7,0.000091
576,27,0.000100
577,34,0.000093
578,26,0.000068
579,18,0.000060
580,25,0.000073
581,24,0.000065
582,29,0.000066
583,31,0.000068
584,20,0.000064
585,25,0.000085
586,19,0.000036
587,27,0.000066
588,15,0.000087
589,24,0.000087
590,20,0.000058
591,18,0.000072
592,22,0.000056
593,22,0.000047
594,26,0.000055
595,19,0.000061
596,26,0.000061
597,25,0.000058
598,31,0.000063
599,26,0.000074
600,23,0.000090
601,28,0.000063
602,36,0.000078
603,18,0.000078
604,26,0.000073
605,28,0.000053
606,18,0.000099
607,30,0.000090
608,10,0.000095
609,12,0.000073
610,17,0.000103
611,17,0.000108
612,19,0.000088
613,17,0.000072
614,17,0.000071
615,13,0.000056
616,17,0.000088
617,18,0.000083
618,22,0.000085
619,19,0.000091
620,22,0.000090
621,20,0.000081
622,28,0.000093
623,17,0.000109
624,14,0.000104
625,14,0.000057
626,21,0.000110
627,7,0.000082
628,10,0.000082
629,19,0.000111
630,22,0.000078
631,18,0.000082
632,15,0.000092
633,22,0.000111
634,21,0.000106
635,14,0.000102
636,16,0.000147
637,11,0.000091
638,10,0.000102
639,10,0.000161
640,15,0.000209
641,16,0.000093
642,14,0.000135
643,16,0.000199
644,10,0.000129
645,16,0.000350
646,11,0.000193
647,13,0.000613
648,6,0.000118
649,2,0.000154
650,12,0.000245
651,9,0.000597
652,2,0.000222
653,4,0.000703
654,2,0.000124
655,2,0.000080
656,10,0.000275
657,9,0.000268
658,10,0.000425
659,9,0.000372
660,10,0.000327
661,12,0.000252
662,12,0.000395
663,6,0.000290
664,1,0.000000
665,5,0.000363
666,3,0.000492
667,1,0.000000
668,7,0.000993
669,3,0.000827
670,2,0.000586
671,1,-0.000000
672,8,0.000125
673,16,0.000092
674,13,0.000113
675,14,0.000131
676,7,0.000251
677,10,0.000134
678,12,0.000237
679,4,0.000091
680,11,0.000099
681,13,0.000125
682,7,0.000134
683,5,0.000086
684,10,0.000168
685,9,0.000120
686,11,0.000172
687,9,0.000134
688,6,0.000223
689,3,0.000301
690,3,0.000239
691,5,0.000231
692,3,0.000085
693,3,0.000014
694,2,0.000377
695,1,0.000000
696,4,0.000164
697,5,0.000262
698,7,0.000337
699,4,0.000202
700,8,0.000263
701,8,0.000282
702,5,0.000451
703,5,0.000073
704,19,0.000106
705,19,0.000112
706,14,0.000054
707,14,0.000073
708,13,0.000064
709,15,0.000085
710,15,0.000070
711,21,0.000110
712,13,0.000058
713,14,0.000093
714,16,0.000071
715,20,0.000097
716,18,0.000147
717,7,0.000079
718,11,0.000081
719,16,0.000100
720,9,0.000042
721,10,0.000122
722,13,0.000099
723,12,0.000160
724,10,0.000094
725,10,0.000097
726,11,0.000163
727,9,0.000090
728,9,0.000131
729,7,0.000078
730,14,0.000084
731,15,0.000076
732,9,0.000064
733,14,0.000080
734,14,0.000043
735,8,0.000116
736,8,0.000101
737,7,0.000113
738,7,0.000277
739,9,0.000284
740,9,0.000182
741,8,0.000170
742,8,0.000170
743,7,0.000090
744,7,0.000369
745,5,0.000216
746,6,0.000176
747,4,0.000102
748,6,0.000243
749,4,0.000135
750,5,0.000212
751,2,0.000042
752,5,0.000185
753,2,0.000396
754,5,0.000883
755,3,0.000455
756,4,0.000600
757,1,0.000000
758,2,0.000510
759,1,0.000000
760,5,0.000124
761,3,0.000609
762,4,0.000136
763,4,0.000113
764,3,0.000594
765,5,0.000311
766,4,0.000596
767,3,0.000409
768,23,0.000054
769,18,0.000078
770,26,0.000051
771,25,0.000071
772,26,0.000096
773,26,0.000084
774,19,0.000060
775,16,0.000076
776,21,0.000082
777,25,0.000077
778,28,0.000064
779,18,0.000075
780,18,0.000063
781,18,0.000066
782,25,0.000059
783,10,0.000057
784,24,0.000063
785,22,0.000066
786,27,0.000065
787,31,0.000063
788,35,0.000094
789,29,0.000070
790,30,0.000068
791,20,0.000070
792,26,0.000063
793,32,0.000053
794,24,0.000057
795,24,0.000045
796,18,0.000087
797,16,0.000046
798,18,0.000077
799,21,0.000089
800,16,0.000097
801,12,0.000050
802,18,0.000090
803,18,0.000115
804,17,0.000130
805,18,0.000087
806,22,0.000096
807,17,0.000130
808,15,0.000136
809,9,0.000073
810,15,0.000094
811,6,0.000100
812,17,0.000116
813,12,0.000069
814,14,0.000094
815,13,0.000115
816,15,0.000059
817,22,0.000080
818,16,0.000105
819,19,0.000081
820,12,0.000100
821,17,0.000114
822,8,0.000108
823,8,0.000081
824,16,0.000072
825,19,0.000064
826,18,0.000084
827,15,0.000104
828,16,0.000099
829,11,0.000065
830,11,0.000095
831,7,0.000059
832,19,0.000075
833,19,0.000110
834,17,0.000118
835,11,0.000139
836,14,0.000126
837,21,0.000093
838,10,0.000134
839,8,0.000112
840,14,0.000102
841,19,0.000122
842,9,0.000098
843,17,0.000088
844,20,0.000179
845,11,0.000135
846,11,0.000173
847,8,0.000125
848,8,0.000121
849,5,0.000080
850,8,0.000229
851,5,0.000226
852,9,0.000126
853,7,0.000110
854,4,0.000391
855,4,0.000506
856,7,0.000164
