# data/codebooks/_/eps_0.0005_M_0064.cbook:
# P=2  size=64  className='_'
k1,k2
-0.500107,0.41623
-0.539098,0.352453
-0.54184,0.468806
-0.595085,0.503366
-0.588685,0.3975
-0.650964,0.408826
-0.683045,0.254321
-0.768614,0.372371
-0.382772,0.162634
-0.465491,0.196364
-0.484378,0.0671586
-0.591554,0.137026
-0.634462,-0.0127172
-0.760391,-0.0193081
-0.753439,0.142967
-0.862299,0.138713
-0.382288,0.494525
-0.412242,0.609502
-0.47137,0.525328
-0.484455,0.643022
-0.426362,0.768188
-0.500934,0.788496
-0.543772,0.691196
-0.564963,0.860059
-0.53967,0.56622
-0.596824,0.611422
-0.664035,0.542654
-0.716909,0.723435
-0.587481,0.735115
-0.654347,0.688578
-0.626912,0.809155
-0.654191,0.892285
0.0391809,0.275911
0.00632347,0.431401
-0.0917155,0.427825
-0.0977363,0.594177
-0.0660734,0.320146
-0.118834,0.349778
-0.152931,0.320563
-0.165333,0.373185
-0.113456,0.250687
-0.121733,0.298308
-0.160205,0.277839
-0.188592,0.318096
-0.165764,0.227869
-0.200263,0.264604
-0.228318,0.302989
-0.231596,0.378694
-0.224504,0.211556
-0.259788,0.256634
-0.30324,0.202892
-0.348646,0.278462
-0.418672,0.280426
-0.477111,0.321602
-0.52856,0.240083
-0.594032,0.286725
-0.179495,0.461065
-0.207384,0.587595
-0.280314,0.482169
-0.330936,0.627753
-0.286365,0.318431
-0.331382,0.388686
-0.398058,0.368151
-0.443067,0.428564

