index,cardinality,distortion
0,51,0.000093
1,54,0.000080
2,67,0.000094
3,53,0.000094
4,77,0.000085
5,68,0.000107
6,74,0.000093
7,85,0.000103
8,65,0.000105
9,71,0.000108
10,86,0.000114
11,62,0.000090
12,77,0.000087
13,70,0.000109
14,85,0.000094
15,76,0.000129
16,72,0.000142
17,54,0.000084
18,74,0.000098
19,68,0.000142
20,69,0.000108
21,84,0.000122
22,73,0.000106
23,66,0.000126
24,99,0.000111
25,85,0.000105
26,67,0.000088
27,68,0.000085
28,63,0.000092
29,84,0.000108
30,84,0.000089
31,90,0.000114
32,59,0.000100
33,62,0.000122
34,45,0.000107
35,64,0.000127
36,57,0.000112
37,63,0.000140
38,62,0.000108
39,63,0.000150
40,68,0.000113
41,76,0.000094
42,64,0.000108
43,66,0.000098
44,58,0.000118
45,62,0.000109
46,63,0.000134
47,55,0.000111
48,53,0.000112
49,46,0.000082
50,46,0.000109
51,53,0.000126
52,54,0.000162
53,42,0.000176
54,46,0.000151
55,41,0.000167
56,53,0.000130
57,51,0.000089
58,53,0.000142
59,43,0.000167
60,39,0.000135
61,41,0.000183
62,32,0.000146
63,48,0.000268
64,63,0.000115
65,69,0.000122
66,68,0.000097
67,79,0.000129
68,57,0.000112
69,59,0.000124
70,56,0.000106
71,58,0.000181
72,62,0.000104
73,65,0.000120
74,70,0.000125
75,50,0.000094
76,49,0.000106
77,37,0.000101
78,50,0.000092
79,46,0.000166
80,52,0.000124
81,32,0.000150
82,48,0.000188
83,41,0.000220
84,35,0.000153
85,28,0.000267
86,32,0.000248
87,36,0.000229
88,36,0.000250
89,25,0.000324
90,23,0.000377
91,21,0.000420
92,19,0.000262
93,17,0.000540
94,19,0.000508
95,11,0.000753
96,27,0.000273
97,27,0.000309
98,23,0.000266
99,21,0.000420
100,57,0.000201
101,37,0.000342
102,30,0.000282
103,28,0.000387
104,17,0.000304
105,18,0.000348
106,17,0.000284
107,21,0.000322
108,23,0.000404
109,22,0.000244
110,15,0.000443
111,18,0.000552
112,14,0.000517
113,24,0.000624
114,7,0.000449
115,14,0.000533
116,9,0.000905
117,11,0.000857
118,3,0.001682
119,1,0.000000
120,17,0.000547
121,16,0.000373
122,11,0.000346
123,6,0.000346
124,7,0.000749
125,8,0.002167
126,2,0.001046
127,3,0.002296
128,11,0.001097
129,26,0.000570
130,51,0.000189
131,35,0.000219
132,56,0.000133
133,64,0.000147
134,49,0.000163
135,39,0.000179
136,74,0.000109
137,105,0.000096
138,81,0.000126
139,72,0.000100
140,42,0.000128
141,69,0.000139
142,61,0.000109
143,73,0.000134
144,54,0.000145
145,58,0.000144
146,42,0.000146
147,48,0.000164
148,54,0.000134
149,64,0.000142
150,73,0.000139
151,85,0.000162
152,50,0.000183
153,46,0.000187
154,55,0.000147
155,57,0.000122
156,44,0.000221
157,40,0.000142
158,51,0.000168
159,50,0.000186
160,13,0.000451
161,32,0.000313
162,28,0.000295
163,37,0.000226
164,47,0.000229
165,38,0.000162
166,53,0.000148
167,46,0.000213
168,26,0.000546
169,30,0.000256
170,35,0.000227
171,41,0.000182
172,41,0.000261
173,42,0.000245
174,25,0.000230
175,27,0.000226
176,31,0.000164
177,43,0.000157
178,32,0.000265
179,22,0.000277
180,38,0.000167
181,31,0.000201
182,57,0.000191
183,46,0.000175
184,22,0.000266
185,24,0.000245
186,24,0.000293
187,26,0.000282
188,23,0.000256
189,27,0.000260
190,23,0.000419
191,27,0.000337
192,26,0.000462
193,26,0.000312
194,14,0.000569
195,24,0.000963
196,39,0.000366
197,23,0.000177
198,32,0.000333
199,30,0.000336
200,23,0.000342
201,30,0.000296
202,20,0.000218
203,17,0.000339
204,16,0.000547
205,16,0.000844
206,18,0.000286
207,18,0.000359
208,29,0.000302
209,22,0.000261
210,40,0.000299
211,31,0.000378
212,26,0.000304
213,16,0.000185
214,20,0.000224
215,16,0.000373
216,16,0.000245
217,22,0.000256
218,13,0.000331
219,7,0.000567
220,25,0.000342
221,12,0.000744
222,18,0.000643
223,4,0.000962
224,25,0.000310
225,33,0.000317
226,34,0.000435
227,18,0.000232
228,32,0.000322
229,27,0.000326
230,22,0.000243
231,25,0.000306
232,27,0.000257
233,25,0.000243
234,24,0.000296
235,20,0.000248
236,28,0.000273
237,20,0.000204
238,18,0.000513
239,11,0.000291
240,21,0.000276
241,20,0.000262
242,16,0.000424
243,14,0.000473
244,20,0.000392
245,6,0.000324
246,7,0.000420
247,7,0.000793
248,8,0.000315
249,13,0.000647
250,10,0.000627
251,13,0.000537
252,10,0.001068
253,10,0.000814
254,10,0.001355
255,3,0.000688
256,42,0.000144
257,56,0.000171
258,61,0.000164
259,57,0.000129
260,31,0.000157
261,57,0.000149
262,29,0.000146
263,39,0.000214
264,35,0.000197
265,27,0.000180
266,32,0.000177
267,40,0.000220
268,34,0.000195
269,51,0.000171
270,32,0.000165
271,30,0.000154
272,28,0.000181
273,35,0.000316
274,30,0.000405
275,17,0.000378
276,33,0.000238
277,30,0.000204
278,35,0.000225
279,32,0.000204
280,36,0.000264
281,32,0.000386
282,22,0.000269
283,24,0.000389
284,24,0.000633
285,27,0.000589
286,24,0.000267
287,15,0.000202
288,56,0.000210
289,51,0.000185
290,54,0.000163
291,66,0.000165
292,47,0.000184
293,42,0.000132
294,38,0.000166
295,38,0.000158
296,49,0.000142
297,54,0.000160
298,47,0.000102
299,68,0.000175
300,47,0.000138
301,52,0.000153
302,64,0.000163
303,35,0.000134
304,23,0.000162
305,29,0.000199
306,37,0.000157
307,28,0.000158
308,47,0.000230
309,44,0.000226
310,34,0.000161
311,48,0.000185
312,35,0.000206
313,28,0.000216
314,27,0.000195
315,35,0.000179
316,39,0.000209
317,40,0.000278
318,23,0.000219
319,24,0.000323
320,32,0.000402
321,29,0.000319
322,26,0.000514
323,20,0.000686
324,10,0.000752
325,20,0.000624
326,5,0.000819
327,4,0.001149
328,19,0.000607
329,19,0.000899
330,25,0.000829
331,16,0.001002
332,7,0.001141
333,5,0.002203
334,6,0.001614
335,3,0.002251
336,27,0.000208
337,30,0.000293
338,19,0.000519
339,21,0.000745
340,10,0.000248
341,17,0.000290
342,18,0.000452
343,12,0.000377
344,11,0.001099
345,8,0.000314
346,4,0.000348
347,3,0.001090
348,9,0.000493
349,16,0.000636
350,13,0.000812
351,9,0.000480
352,29,0.000171
353,30,0.000153
354,28,0.000212
355,33,0.000214
356,35,0.000183
357,40,0.000186
358,19,0.000182
359,26,0.000177
360,23,0.000181
361,20,0.000185
362,19,0.000257
363,19,0.000251
364,18,0.000260
365,28,0.000188
366,25,0.000199
367,23,0.000204
368,18,0.000368
369,17,0.000544
370,15,0.000325
371,17,0.000325
372,11,0.000511
373,10,0.000407
374,9,0.000393
375,7,0.000663
376,8,0.000588
377,6,0.000654
378,5,0.001086
379,4,0.003154
380,7,0.000487
381,10,0.000833
382,7,0.000703
383,7,0.000958
384,43,0.000184
385,58,0.000148
386,47,0.000169
387,38,0.000147
388,46,0.000191
389,38,0.000109
390,37,0.000117
391,46,0.000162
392,54,0.000139
393,61,0.000132
394,61,0.000167
395,58,0.000170
396,55,0.000117
397,56,0.000132
398,43,0.000174
399,36,0.000194
400,26,0.000156
401,33,0.000173
402,27,0.000174
403,31,0.000147
404,27,0.000225
405,22,0.000230
406,29,0.000214
407,30,0.000222
408,43,0.000222
409,33,0.000167
410,29,0.000183
411,18,0.000214
412,30,0.000181
413,35,0.000235
414,32,0.000230
415,20,0.000212
416,36,0.000269
417,26,0.000195
418,37,0.000256
419,21,0.000279
420,32,0.000183
421,37,0.000231
422,22,0.000188
423,19,0.000317
424,14,0.000257
425,13,0.000561
426,19,0.000353
427,8,0.000707
428,19,0.000343
429,11,0.000313
430,6,0.000841
431,5,0.002106
432,13,0.000354
433,9,0.000204
434,15,0.000272
435,11,0.000564
436,10,0.000221
437,10,0.000250
438,9,0.000781
439,6,0.000937
440,7,0.000664
441,3,0.000284
442,2,0.000044
443,1,-0.000000
444,5,0.000325
445,10,0.000253
446,4,0.000398
447,4,0.000300
448,19,0.000284
449,19,0.000282
450,16,0.000202
451,14,0.000231
452,18,0.000208
453,17,0.000283
454,20,0.000352
455,15,0.000426
456,16,0.000238
457,19,0.000225
458,18,0.000225
459,22,0.000226
460,23,0.000244
461,19,0.000295
462,22,0.000262
463,22,0.000569
464,16,0.000238
465,16,0.000231
466,12,0.000205
467,12,0.000231
468,21,0.000283
469,15,0.000264
470,21,0.000217
471,20,0.000340
472,19,0.000418
473,18,0.000223
474,18,0.000246
475,17,0.000322
476,11,0.000349
477,16,0.000345
478,15,0.000463
479,9,0.000431
480,13,0.000413
481,12,0.000624
482,25,0.000458
483,15,0.000489
484,23,0.000428
485,17,0.000335
486,13,0.000343
487,18,0.000375
488,13,0.000339
489,12,0.000431
490,7,0.000404
491,7,0.000607
492,5,0.000321
493,4,0.000239
494,1,0.000000
495,2,0.000190
496,9,0.000600
497,7,0.001007
498,15,0.000508
499,10,0.000459
500,12,0.000391
501,13,0.000578
502,14,0.000575
503,9,0.001040
504,6,0.000612
505,7,0.000359
506,13,0.000501
507,5,0.000800
508,8,0.000210
509,10,0.001049
510,11,0.000611
511,0,NaN
512,16,0.001230
513,28,0.000555
514,32,0.000764
515,13,0.001606
516,25,0.000473
517,51,0.000296
518,38,0.000488
519,42,0.000434
520,17,0.000357
521,21,0.000708
522,10,0.001186
523,13,0.000642
524,11,0.000924
525,5,0.001363
526,9,0.001147
527,5,0.001279
528,51,0.000248
529,49,0.000250
530,43,0.000252
531,46,0.000257
532,67,0.000181
533,77,0.000191
534,73,0.000208
535,53,0.000247
536,23,0.000471
537,23,0.000536
538,33,0.000370
539,17,0.000732
540,10,0.000708
541,11,0.000983
542,4,0.000920
543,4,0.000435
544,107,0.000104
545,82,0.000123
546,77,0.000133
547,49,0.000197
548,74,0.000163
549,36,0.000170
550,42,0.000174
551,35,0.000321
552,54,0.000180
553,45,0.000163
554,45,0.000211
555,34,0.000292
556,33,0.000480
557,10,0.000609
558,21,0.000548
559,9,0.000299
560,31,0.000341
561,23,0.000450
562,22,0.000267
563,23,0.000445
564,7,0.000445
565,7,0.000726
566,11,0.000362
567,8,0.000349
568,6,0.001374
569,4,0.001562
570,2,0.003064
571,3,0.000537
572,5,0.001457
573,4,0.002024
574,6,0.001389
575,3,0.003180
576,8,0.000625
577,21,0.000484
578,28,0.000274
579,38,0.000164
580,39,0.000200
581,47,0.000144
582,86,0.000131
583,97,0.000133
584,158,0.000083
585,122,0.000084
586,155,0.000068
587,112,0.000085
588,74,0.000217
589,95,0.000184
590,117,0.000117
591,95,0.000143
592,184,0.000061
593,147,0.000045
594,281,0.000040
595,260,0.000043
596,215,0.000059
597,169,0.000057
598,126,0.000071
599,127,0.000089
600,220,0.000046
601,153,0.000059
602,193,0.000048
603,160,0.000071
604,134,0.000098
605,100,0.000076
606,91,0.000104
607,109,0.000163
608,414,0.000025
609,334,0.000019
610,339,0.000024
611,346,0.000028
612,344,0.000024
613,376,0.000023
614,396,0.000021
615,376,0.000023
616,358,0.000024
617,438,0.000028
618,325,0.000029
619,360,0.000030
620,398,0.000025
621,393,0.000026
622,320,0.000033
623,230,0.000032
624,267,0.000033
625,258,0.000034
626,321,0.000034
627,237,0.000046
628,245,0.000039
629,180,0.000044
630,145,0.000051
631,167,0.000053
632,224,0.000056
633,166,0.000062
634,113,0.000081
635,122,0.000074
636,85,0.000069
637,84,0.000092
638,82,0.000110
639,58,0.000133
640,28,0.000260
641,42,0.000221
642,67,0.000126
643,91,0.000084
644,128,0.000097
645,168,0.000053
646,145,0.000065
647,198,0.000045
648,170,0.000057
649,243,0.000040
650,230,0.000032
651,299,0.000032
652,194,0.000034
653,276,0.000036
654,315,0.000026
655,317,0.000027
656,65,0.000133
657,128,0.000088
658,192,0.000059
659,198,0.000051
660,272,0.000045
661,326,0.000035
662,253,0.000044
663,290,0.000031
664,290,0.000028
665,374,0.000032
666,326,0.000035
667,334,0.000029
668,318,0.000023
669,317,0.000031
670,300,0.000038
671,246,0.000041
672,192,0.000041
673,227,0.000030
674,293,0.000026
675,324,0.000023
676,320,0.000026
677,392,0.000027
678,360,0.000024
679,390,0.000022
680,293,0.000026
681,364,0.000024
682,322,0.000026
683,331,0.000021
684,379,0.000023
685,374,0.000025
686,377,0.000023
687,317,0.000025
688,405,0.000023
689,440,0.000026
690,377,0.000028
691,316,0.000029
692,366,0.000031
