codeword,minDistortion
1,0.007198
1,0.015597
1,0.007540
1,0.004261
1,0.007290
1,0.013751
1,0.037963
1,0.009625
1,0.006468
1,0.013531
1,0.009923
1,0.012994
1,0.018603
1,0.001409
1,0.002245
1,0.006437
1,0.009378
1,0.018581
1,0.012789
1,0.012115
1,0.019185
1,0.007558
1,0.005751
1,0.006831
1,0.010023
1,0.002788
1,0.003875
1,0.011710
1,0.010127
1,0.016526
1,0.011993
1,0.006300
1,0.015753
1,0.013462
1,0.018503
1,0.013331
1,0.008883
1,0.002382
1,0.008442
1,0.014648
1,0.004871
1,0.004613
1,0.010126
1,0.007608
1,0.020227
1,0.013572
1,0.004701
1,0.002068
1,0.015937
1,0.014510
1,0.011930
1,0.013751
1,0.022566
1,0.020529
1,0.005648
1,0.005104
1,0.001724
1,0.007013
1,0.004376
1,0.024077
1,0.026256
1,0.003865
1,0.005335
1,0.017604
1,0.010393
1,0.007324
1,0.011922
1,0.013892
1,0.001352
1,0.016537
1,0.015724
1,0.005285
1,0.015840
1,0.024959
1,0.024297
1,0.014170
1,0.028041
1,0.007542
1,0.009873
1,0.019742
1,0.009811
1,0.010088
1,0.007392
1,0.009512
1,0.014024
1,0.004975
1,0.004969
1,0.025116
1,0.016655
1,0.008229
1,0.006826
1,0.010336
1,0.006401
1,0.015858
1,0.011062
1,0.005061
1,0.000936
1,0.024224
1,0.026462
1,0.010524
1,0.003676
1,0.002403
1,0.005911
1,0.006622
1,0.007266
1,0.003171
1,0.006291
1,0.006338
1,0.004930
0,0.100349
0,0.084332
0,0.074605
0,0.049755
0,0.009842
0,0.045194
0,0.084600
1,0.025504
1,0.030069
0,0.072521
0,0.043506
0,0.034850
0,0.009434
0,0.045090
1,0.077667
1,0.087559
1,0.141446
1,0.191473
1,0.159781
1,0.092281
0,0.028429
0,0.027248
0,0.163766
1,0.182866
1,0.219366
1,0.211043
1,0.135236
1,0.103958
0,0.025807
0,0.010756
0,0.073523
1,0.084300
0,0.058850
1,0.066998
0,0.087915
1,0.085742
0,0.077595
0,0.091968
0,0.155953
0,0.255860
0,0.333242
0,0.165944
0,0.091026
0,0.124425
0,0.107936
1,0.060467
1,0.005909
1,0.003059
1,0.014023
1,0.010920
1,0.011100
1,0.009054
1,0.008042
1,0.008170
1,0.013868
1,0.018916
1,0.017432
1,0.015569
1,0.018417
1,0.021041
1,0.002332
1,0.005794
1,0.014554
1,0.000115
1,0.001335
1,0.002071
1,0.002214
1,0.002930
1,0.001175
1,0.005812
1,0.006937
1,0.000139
1,0.012685
1,0.031890
1,0.009587
1,0.041957
1,0.043766
