# data/codebooks/_/eps_0.0005_M_0256.cbook:
# P=2  size=256  className='_'
k1,k2
-0.308734,0.158726
-0.351969,0.133472
-0.394711,0.10354
-0.43385,0.153055
-0.348653,0.0454227
-0.421776,0.0119057
-0.445197,0.0824562
-0.493763,0.0413672
-0.386816,0.23112
-0.425251,0.256598
-0.423633,0.211222
-0.464525,0.206403
-0.482199,0.131002
-0.510874,0.17748
-0.533698,0.100566
-0.592885,0.0936221
-0.317413,0.385039
-0.35782,0.437956
-0.391934,0.390411
-0.410396,0.450668
-0.433793,0.312322
-0.462135,0.272412
-0.497649,0.302331
-0.509809,0.35288
-0.498092,0.242779
-0.53765,0.225005
-0.538264,0.28564
-0.576444,0.3027
-0.485622,0.399687
-0.522011,0.414882
-0.545539,0.348588
-0.557263,0.406457
-0.250351,0.401466
-0.291456,0.441928
-0.247354,0.490075
-0.296976,0.575693
-0.326844,0.503982
-0.354712,0.589029
-0.29762,0.718554
-0.371385,0.750857
-0.394947,0.524732
-0.420711,0.615439
-0.445584,0.557619
-0.486383,0.53709
-0.384228,0.659661
-0.433273,0.722462
-0.449043,0.82792
-0.491708,0.752924
-0.582677,0.366044
-0.617536,0.376845
-0.646728,0.339374
-0.674686,0.38942
-0.615496,0.508742
-0.652694,0.530487
-0.684802,0.474196
-0.711557,0.554031
-0.666913,0.608253
-0.687355,0.676562
-0.726097,0.706828
-0.741423,0.821493
-0.754995,0.583924
-0.8028,0.614527
-0.793387,0.470932
-0.844577,0.50201
-0.432913,0.37758
-0.466814,0.343431
-0.452022,0.428464
-0.451072,0.492582
-0.490688,0.462983
-0.524481,0.486026
-0.517647,0.561496
-0.551794,0.53518
-0.555501,0.463245
-0.582143,0.50658
-0.595504,0.437132
-0.640921,0.442369
-0.57766,0.580239
-0.621148,0.587089
-0.597171,0.640637
-0.638926,0.682558
-0.476662,0.61592
-0.487902,0.679105
-0.534326,0.619788
-0.563823,0.67476
-0.531683,0.720061
-0.569362,0.770074
-0.521441,0.836037
-0.573319,0.881237
-0.600537,0.720224
-0.612263,0.810824
-0.637492,0.760491
-0.671088,0.783261
-0.642592,0.840927
-0.652967,0.916778
-0.669661,0.863362
-0.688617,0.914662
-0.561716,0.164372
-0.581661,0.233752
-0.615462,0.284281
-0.65002,0.239249
-0.615905,0.173096
-0.667109,0.165281
-0.711287,0.198662
-0.752308,0.248455
-0.495172,-0.0613828
-0.554731,0.0169535
-0.623335,-0.00145482
-0.650833,0.0827025
-0.635725,-0.115131
-0.695118,-0.0146665
-0.728157,-0.105298
-0.799831,-0.11376
-0.683,0.294914
-0.72184,0.321007
-0.718154,0.401828
-0.75098,0.45752
-0.771431,0.348141
-0.821596,0.354182
-0.80536,0.235605
-0.871011,0.233991
-0.712329,0.096735
-0.757997,0.0366117
-0.766322,0.144704
-0.821148,0.113413
-0.807755,-0.0154226
-0.896427,-0.0926648
-0.872966,0.0458557
-0.912677,0.0958761
0.101005,0.00559214
0.304022,-0.173564
0.0787882,0.173109
0.181653,0.163502
0.0767889,0.2521
0.0552409,0.313546
0.112093,0.327697
0.128242,0.412904
0.157774,0.260394
0.264706,0.273687
0.275138,0.131335
0.367696,0.181813
0.394634,0.345394
0.393059,0.511603
0.513773,0.196927
0.587545,0.423384
0.0631311,0.397185
0.0342636,0.481486
0.0939383,0.501305
0.12103,0.599343
0.196692,0.369828
0.282542,0.428447
0.180067,0.497765
0.231237,0.641823
-0.0145886,0.462549
-0.0354709,0.538156
-0.0760591,0.614242
-0.090693,0.757315
0.0258953,0.582747
-0.0141681,0.67403
0.0609903,0.693249
0.0343946,0.793759
-0.00738422,0.139503
-0.046322,0.199051
0.012058,0.243261
-0.0220566,0.292972
0.0139585,0.327151
0.00943384,0.395743
-0.0249981,0.356417
-0.036673,0.408741
-0.0556868,0.320929
-0.0603508,0.366993
-0.0836242,0.343471
-0.0954566,0.37624
-0.0741006,0.406226
-0.104622,0.427597
-0.0683191,0.466063
-0.105711,0.519773
-0.0633727,0.264274
-0.0885374,0.30427
-0.109886,0.276802
-0.123367,0.305797
-0.107698,0.330942
-0.133983,0.334692
-0.119632,0.357853
-0.121362,0.389512
-0.14277,0.411889
-0.145105,0.468147
-0.208405,0.384077
-0.196235,0.439674
-0.186968,0.523818
-0.148329,0.602427
-0.228819,0.605867
-0.206984,0.747902
-0.08291,0.0609825
-0.0967585,0.138082
-0.153862,0.135128
-0.1396,0.184092
-0.178435,0.0809991
-0.206169,0.130896
-0.1819,0.173927
-0.221748,0.176641
-0.0986156,-0.0857674
-0.283807,-0.0847348
-0.253568,0.0475832
-0.301906,0.0993502
-0.250404,0.119808
-0.264516,0.166196
-0.285743,0.203691
-0.319716,0.207761
-0.0998957,0.195659
-0.101044,0.240579
-0.133612,0.240567
-0.15874,0.257901
-0.139544,0.278167
-0.148105,0.306334
-0.169179,0.28548
-0.169281,0.314727
-0.154702,0.33723
-0.174169,0.352255
-0.145994,0.368512
-0.171059,0.391675
-0.189226,0.317688
-0.200398,0.347464
-0.237005,0.344826
-0.274982,0.347835
-0.16308,0.220417
-0.192895,0.215196
-0.182688,0.254691
-0.205242,0.25501
-0.194558,0.286923
-0.214104,0.316702
-0.21962,0.285851
-0.239756,0.306039
-0.273005,0.271889
-0.265781,0.306742
-0.293244,0.306721
-0.318326,0.331335
-0.319696,0.28722
-0.343803,0.27113
-0.345233,0.307936
-0.358349,0.355506
-0.220257,0.222896
-0.244681,0.240319
-0.227627,0.259342
-0.248578,0.274285
-0.250883,0.205364
-0.268947,0.239344
-0.295691,0.238589
-0.297053,0.270365
-0.322491,0.24842
-0.350096,0.230741
-0.353679,0.188757
-0.390692,0.174813
-0.368382,0.26492
-0.372322,0.305069
-0.39833,0.280431
-0.39915,0.333388

