index,cardinality,distortion
309,120,0.002183
310,45,0.005547
311,25,0.008991
312,160,0.001068
313,137,0.001843
314,162,0.001862
315,68,0.002683
316,108,0.002613
317,40,0.004586
318,70,0.002871
319,41,0.006195
320,133,0.001030
321,204,0.000600
322,281,0.000419
323,331,0.000354
324,304,0.000414
325,459,0.000382
326,530,0.000318
327,621,0.000282
328,531,0.000356
329,429,0.000370
330,608,0.000311
331,359,0.000459
332,583,0.000270
333,766,0.000206
334,615,0.000273
335,634,0.000241
336,824,0.000213
337,704,0.000196
338,1000,0.000163
339,964,0.000190
340,1248,0.000145
341,1352,0.000151
342,1372,0.000108
343,1084,0.000122
344,959,0.000182
345,579,0.000320
346,920,0.000178
347,458,0.000241
348,406,0.000468
349,269,0.000596
350,271,0.000438
351,153,0.000831
352,470,0.000273
353,582,0.000190
354,964,0.000153
355,1263,0.000109
356,1005,0.000179
357,1448,0.000122
358,1808,0.000091
359,2044,0.000083
360,1895,0.000104
361,1631,0.000119
362,1772,0.000085
363,2299,0.000095
364,1672,0.000097
365,1860,0.000107
366,1461,0.000135
367,871,0.000201
368,1206,0.000141
369,627,0.000395
370,399,0.000342
371,230,0.000647
372,716,0.000258
373,497,0.000353
374,476,0.000464
375,297,0.000615
376,262,0.000824
377,163,0.001716
378,126,0.001187
379,99,0.002652
380,103,0.001482
381,63,0.002550
382,26,0.005300
383,23,0.004242
384,105,0.001529
385,290,0.000493
386,269,0.000435
387,447,0.000285
388,493,0.000355
389,733,0.000212
390,679,0.000225
391,658,0.000163
392,214,0.000832
393,607,0.000351
394,661,0.000183
395,785,0.000236
396,877,0.000174
397,947,0.000160
398,796,0.000147
399,804,0.000154
400,46,0.003312
401,84,0.002403
402,95,0.001535
403,63,0.003474
404,250,0.000613
405,321,0.000652
406,513,0.000382
407,433,0.000543
408,517,0.000328
409,583,0.000235
410,731,0.000176
411,810,0.000168
412,1286,0.000136
413,1236,0.000124
414,946,0.000169
415,1044,0.000158
416,430,0.000328
417,649,0.000235
418,608,0.000232
419,1003,0.000146
420,925,0.000168
421,1105,0.000095
422,1318,0.000107
423,1853,0.000095
424,1617,0.000115
425,1796,0.000094
426,2246,0.000089
427,2039,0.000074
428,1936,0.000076
429,2012,0.000078
430,2277,0.000080
431,1848,0.000075
432,1852,0.000077
433,1705,0.000092
434,1716,0.000099
435,1170,0.000138
436,1624,0.000108
437,908,0.000153
438,1128,0.000114
439,724,0.000223
440,1981,0.000080
441,1735,0.000093
442,1195,0.000125
443,830,0.000194
444,1223,0.000126
445,774,0.000206
446,980,0.000187
447,635,0.000278
448,1048,0.000139
449,1375,0.000111
450,1120,0.000145
451,1245,0.000115
452,1590,0.000093
453,1724,0.000078
454,1520,0.000086
455,1904,0.000092
456,1904,0.000079
457,1689,0.000083
458,1481,0.000089
459,1286,0.000112
460,1914,0.000085
461,1636,0.000088
462,1520,0.000090
463,1248,0.000123
464,1661,0.000092
465,1726,0.000108
466,1246,0.000112
467,1130,0.000136
468,1380,0.000117
469,914,0.000140
470,677,0.000182
471,752,0.000194
472,1357,0.000109
473,1222,0.000139
474,1509,0.000121
475,1395,0.000118
476,1073,0.000120
477,1151,0.000178
478,512,0.000319
479,656,0.000272
480,1190,0.000147
481,1443,0.000106
482,1516,0.000105
483,1701,0.000092
484,1924,0.000098
485,1793,0.000084
486,1705,0.000084
487,1504,0.000084
488,1062,0.000117
489,1305,0.000151
490,1759,0.000123
491,1513,0.000091
492,1409,0.000104
493,1538,0.000102
494,1602,0.000096
495,1521,0.000107
496,1320,0.000117
497,1318,0.000095
498,1326,0.000150
499,1090,0.000137
500,822,0.000207
501,836,0.000196
502,698,0.000286
503,766,0.000217
504,1281,0.000118
505,1101,0.000151
506,1211,0.000129
507,965,0.000164
508,899,0.000140
509,762,0.000184
510,606,0.000204
511,463,0.000281
