# data/codebooks/_/eps_0.0005_M_1024.cbook:
# P=2  size=1024  className='_'
k1,k2
-0.279483,0.152562
-0.296704,0.164651
-0.318437,0.149677
-0.334378,0.165144
-0.29705,0.136709
-0.321049,0.120127
-0.343102,0.131559
-0.358324,0.147205
-0.37011,0.119743
-0.38907,0.0996752
-0.404661,0.127777
-0.426519,0.125619
-0.412282,0.158781
-0.429818,0.174788
-0.436561,0.151126
-0.455017,0.163839
-0.314229,0.00445361
-0.345874,-0.0393211
-0.349754,0.0478093
-0.383436,0.0645533
-0.379224,0.0164495
-0.411526,0.036925
-0.424428,-0.00928394
-0.458689,-0.00375061
-0.415089,0.0881229
-0.43746,0.0625418
-0.469271,0.0714146
-0.477851,0.11163
-0.450766,0.032398
-0.490184,0.0280239
-0.498028,0.0658281
-0.523695,0.0501161
-0.372092,0.212698
-0.381803,0.232622
-0.397642,0.231048
-0.412875,0.219623
-0.400123,0.251588
-0.406496,0.270655
-0.423404,0.273885
-0.44139,0.27658
-0.416891,0.194272
-0.433707,0.21743
-0.416161,0.24577
-0.433387,0.248451
-0.447707,0.193617
-0.458381,0.217071
-0.480043,0.215551
-0.496259,0.22675
-0.443696,0.0977038
-0.455441,0.129214
-0.477883,0.150949
-0.501093,0.137319
-0.471526,0.187704
-0.49417,0.177547
-0.517003,0.161655
-0.532337,0.182898
-0.503201,0.105965
-0.533178,0.12129
-0.52703,0.0899046
-0.55686,0.0823071
-0.582298,0.111236
-0.593612,0.0800381
-0.606916,0.128489
-0.623991,0.154965
-0.304971,0.365953
-0.322063,0.37868
-0.307774,0.41222
-0.333516,0.414395
-0.346796,0.386825
-0.367108,0.400733
-0.356569,0.431697
-0.366022,0.465262
-0.371664,0.371791
-0.390506,0.387066
-0.40983,0.394793
-0.429253,0.407745
-0.383843,0.427481
-0.396927,0.462354
-0.408576,0.429428
-0.422233,0.464029
-0.413509,0.321331
-0.438472,0.326211
-0.428368,0.300547
-0.450592,0.304966
-0.450703,0.242603
-0.470617,0.247644
-0.458465,0.275095
-0.476142,0.283079
-0.470506,0.310397
-0.492193,0.307518
-0.511344,0.292091
-0.512555,0.320858
-0.497471,0.339583
-0.513127,0.354105
-0.501629,0.374363
-0.521018,0.381389
-0.487162,0.25549
-0.497153,0.276481
-0.508747,0.250082
-0.524239,0.264298
-0.508581,0.198039
-0.521615,0.221489
-0.545456,0.205715
-0.564916,0.218898
-0.539258,0.23875
-0.542636,0.272452
-0.531903,0.301134
-0.557028,0.3034
-0.566172,0.278395
-0.588244,0.283516
-0.581152,0.314682
-0.597368,0.336937
-0.462763,0.400618
-0.474373,0.422509
-0.485168,0.39273
-0.507173,0.400973
-0.496163,0.420458
-0.513632,0.434529
-0.523403,0.413184
-0.539127,0.41166
-0.528131,0.341629
-0.546324,0.355577
-0.545787,0.325745
-0.565486,0.338896
-0.536719,0.381001
-0.553167,0.392678
-0.55589,0.417146
-0.571558,0.428774
-0.248059,0.378042
-0.261452,0.395406
-0.242254,0.42995
-0.268551,0.424559
-0.286521,0.390607
-0.289515,0.438663
-0.267113,0.471903
-0.294976,0.482271
-0.200782,0.48378
-0.212839,0.519178
-0.241872,0.479911
-0.257734,0.518094
-0.28845,0.521408
-0.302731,0.563112
-0.27493,0.579837
-0.309058,0.619776
-0.315022,0.453083
-0.336581,0.465278
-0.320738,0.513904
-0.349015,0.51671
-0.331781,0.563288
-0.348701,0.591219
-0.371334,0.556267
-0.381758,0.598341
-0.274582,0.643038
-0.292971,0.7036
-0.287105,0.783043
-0.340278,0.797903
-0.341645,0.694195
-0.369969,0.714189
-0.393538,0.751618
-0.415255,0.75104
-0.378239,0.500668
-0.394253,0.531402
-0.408564,0.499414
-0.422131,0.533031
-0.403945,0.567611
-0.412762,0.600593
-0.428038,0.61859
-0.432092,0.657811
-0.433931,0.568877
-0.456199,0.573042
-0.454958,0.541694
-0.476966,0.542589
-0.495931,0.513722
-0.495467,0.544535
-0.484356,0.579408
-0.504344,0.580588
-0.342578,0.635958
-0.368092,0.646018
-0.397761,0.639117
-0.397109,0.678612
-0.417209,0.705644
-0.445226,0.707582
-0.43727,0.767033
-0.454232,0.792654
-0.401684,0.826503
-0.434155,0.859369
-0.468353,0.837445
-0.471857,0.907344
-0.472508,0.731429
-0.485671,0.770445
-0.494593,0.723064
-0.510494,0.768213
-0.565444,0.371391
-0.582953,0.356307
-0.576895,0.395283
-0.591716,0.411724
-0.597851,0.375862
-0.614597,0.380437
-0.630409,0.396851
-0.641771,0.367483
-0.619704,0.344047
-0.640362,0.331389
-0.664173,0.349953
-0.682217,0.376402
-0.647744,0.40739
-0.664906,0.428726
-0.663192,0.390532
-0.684167,0.424931
-0.595543,0.487849
-0.614086,0.468734
-0.608945,0.50822
-0.627066,0.512539
-0.635697,0.539008
-0.651509,0.554435
-0.665993,0.529123
-0.68053,0.555065
-0.671064,0.468969
-0.683673,0.500837
-0.697432,0.467164
-0.716902,0.484338
-0.700957,0.53014
-0.709184,0.573057
-0.725557,0.53024
-0.74169,0.546195
-0.654925,0.591179
-0.672425,0.630016
-0.676533,0.592677
-0.695954,0.609027
-0.659002,0.642055
-0.672164,0.684171
-0.690102,0.662598
-0.694405,0.708073
-0.710795,0.657107
-0.72201,0.690308
-0.748528,0.670296
-0.782142,0.676843
-0.715748,0.754102
-0.738663,0.748216
-0.742073,0.813829
-0.75635,0.869787
-0.731265,0.604453
-0.758656,0.617334
-0.756841,0.570665
-0.778772,0.554095
-0.792504,0.602753
-0.80999,0.64194
-0.832961,0.612511
-0.858589,0.609441
-0.773679,0.42878
-0.793873,0.410604
-0.791743,0.487437
-0.813743,0.474315
-0.818074,0.535638
-0.840435,0.499787
-0.859907,0.415214
-0.888161,0.503644
-0.425559,0.345306
-0.444267,0.357893
-0.426416,0.376783
-0.44561,0.388545
-0.457782,0.33899
-0.47628,0.336348
-0.465585,0.369487
-0.484215,0.362293
-0.431728,0.436886
-0.450801,0.429127
-0.44578,0.466293
-0.466055,0.45745
-0.431001,0.495182
-0.447817,0.515416
-0.45854,0.488179
-0.470741,0.509825
-0.485273,0.446913
-0.500156,0.454789
-0.484693,0.481732
-0.505631,0.482299
-0.521037,0.461541
-0.535241,0.473615
-0.519398,0.496859
-0.531599,0.511176
-0.515162,0.537758
-0.533405,0.542902
-0.524629,0.572467
-0.548013,0.570904
-0.547804,0.51411
-0.553879,0.539897
-0.56936,0.55102
-0.587774,0.555086
-0.536279,0.443669
-0.553999,0.44714
-0.550594,0.484212
-0.563785,0.474852
-0.566022,0.513897
-0.57799,0.49169
-0.587349,0.523379
-0.610578,0.541605
-0.576432,0.455931
-0.591029,0.453635
-0.603494,0.438177
-0.612185,0.414591
-0.63066,0.439834
-0.650744,0.454785
-0.634417,0.481005
-0.652633,0.499298
-0.56534,0.587324
-0.568667,0.622871
-0.583339,0.588798
-0.598984,0.605213
-0.606757,0.576733
-0.626889,0.575708
-0.619683,0.619229
-0.638579,0.61827
-0.58461,0.629103
-0.588181,0.670904
-0.599562,0.641696
-0.610653,0.662356
-0.629033,0.671872
