# data/codebooks/_/eps_0.0005_M_0032.cbook:
# P=2  size=32  className='_'
k1,k2
-0.415038,0.0918018
-0.504343,0.186904
-0.441547,0.356756
-0.552893,0.341463
-0.324113,0.510467
-0.442859,0.655781
-0.653104,0.388476
-0.730075,0.570621
-0.504723,0.489413
-0.597166,0.547252
-0.56138,0.733881
-0.659199,0.823957
-0.648651,0.181509
-0.668281,-0.0237101
-0.778593,0.326876
-0.843975,0.0546718
0.146979,0.219653
0.38312,0.336634
0.102444,0.449162
-0.0169113,0.6394
-0.0170224,0.28315
-0.051099,0.399633
-0.116764,0.341995
-0.153764,0.442941
-0.142664,0.15815
-0.254332,0.137537
-0.149118,0.269864
-0.186523,0.331928
-0.225692,0.25452
-0.282879,0.314462
-0.309021,0.230197
-0.374922,0.270271

