index,cardinality,distortion
0,2551,0.001110
1,2249,0.001312
2,1174,0.002720
3,1428,0.001703
4,2984,0.000717
5,2313,0.001060
6,1779,0.001385
7,1384,0.001950
8,1122,0.001849
9,1251,0.002206
10,2171,0.001075
11,1848,0.001198
12,2017,0.001245
13,1792,0.001463
14,1540,0.001273
15,1763,0.001405
16,1001,0.001452
17,637,0.003381
18,591,0.004044
19,227,0.008857
20,725,0.003550
21,918,0.002586
22,291,0.008011
23,211,0.013043
24,1496,0.001681
25,1188,0.002608
26,794,0.002804
27,513,0.004007
28,393,0.005083
29,147,0.013348
30,343,0.007948
31,368,0.010820
32,1766,0.001373
33,1226,0.001889
34,1238,0.001626
35,952,0.002272
36,1401,0.001653
37,1110,0.001757
38,992,0.002301
39,592,0.003917
40,617,0.004166
41,645,0.003039
42,405,0.005197
43,114,0.014504
44,430,0.005717
45,423,0.005669
46,248,0.009506
47,162,0.009638
48,1710,0.001669
49,1459,0.002050
50,1328,0.002487
51,958,0.002750
52,799,0.003859
53,1025,0.002455
54,630,0.004155
55,590,0.003988
56,1130,0.002817
57,809,0.004007
58,731,0.004302
59,325,0.006986
60,829,0.002986
61,720,0.004122
62,261,0.005866
63,345,0.007228
64,159,0.020203
65,557,0.004289
66,1358,0.002130
67,971,0.003573
68,662,0.004555
69,441,0.009926
70,300,0.014338
71,132,0.034579
72,1067,0.002774
73,501,0.006456
74,443,0.006530
75,140,0.017377
76,923,0.002621
77,298,0.012671
78,532,0.005899
79,248,0.016219
80,1026,0.002698
81,1919,0.001313
82,1950,0.001548
83,2429,0.001194
84,3391,0.000793
85,5840,0.000556
86,3575,0.000990
87,861,0.002905
88,3442,0.000706
89,5790,0.000435
90,7377,0.000365
91,5779,0.000501
92,2076,0.001227
93,1687,0.001635
94,592,0.004743
95,175,0.015131
96,1151,0.002135
97,2876,0.000807
98,1946,0.001417
99,3165,0.000607
100,255,0.009132
101,1445,0.001699
102,3266,0.000870
103,4261,0.000564
104,2899,0.001070
105,6535,0.000495
106,7224,0.000283
107,8456,0.000338
108,8091,0.000355
109,4613,0.000561
110,6231,0.000550
111,2861,0.000835
112,4145,0.000499
113,7048,0.000380
114,6577,0.000316
115,5112,0.000371
116,6226,0.000455
117,3655,0.000780
118,5052,0.000455
119,2909,0.000837
120,5279,0.000483
121,7124,0.000349
122,6378,0.000443
123,6370,0.000425
124,5152,0.000523
125,3203,0.000806
126,4807,0.000549
127,2554,0.000977
