# data/codebooks/_/eps_0.0005_M_0064.cbook:
# P=2  size=64  className='_'
k1,k2
-0.375153,0.132685
-0.458366,0.0424531
-0.445404,0.204435
-0.536512,0.142859
-0.375091,0.41575
-0.465615,0.329626
-0.521383,0.263262
-0.544587,0.380461
-0.274779,0.455913
-0.349472,0.619782
-0.448225,0.569797
-0.460336,0.74478
-0.624692,0.381716
-0.672378,0.502723
-0.710825,0.685419
-0.784185,0.51322
-0.457879,0.435177
-0.520215,0.492124
-0.586402,0.497571
-0.61118,0.627882
-0.535561,0.623099
-0.559222,0.782756
-0.633833,0.7771
-0.667644,0.880749
-0.602175,0.257167
-0.665927,0.158749
-0.605201,0.0109303
-0.738992,-0.0692659
-0.71498,0.335517
-0.817087,0.307027
-0.764306,0.131072
-0.882468,0.0454526
0.0991888,0.0829033
0.106936,0.295012
0.288435,0.221699
0.468711,0.363564
0.0735181,0.479678
0.229204,0.474831
-0.0409838,0.539094
0.0253208,0.705872
-0.0156185,0.253478
-0.00376169,0.375449
-0.0705029,0.34252
-0.0822579,0.4165
-0.110543,0.295855
-0.125753,0.354966
-0.153843,0.420846
-0.170269,0.610489
-0.109243,0.14119
-0.200581,0.15986
-0.264612,0.0502137
-0.286741,0.173955
-0.135601,0.230845
-0.158958,0.292468
-0.171264,0.341279
-0.220504,0.362601
-0.193135,0.24407
-0.215781,0.294383
-0.273078,0.305921
-0.337255,0.306733
-0.248166,0.241557
-0.304126,0.248315
-0.360003,0.23211
-0.397638,0.294768

