index,cardinality,distortion
0,1524,0.000494
1,1072,0.000566
2,998,0.000726
3,1142,0.000612
4,627,0.001307
5,539,0.001389
6,799,0.000713
7,704,0.000942
8,2035,0.000387
9,1318,0.000435
10,1189,0.000444
11,1212,0.000598
12,900,0.000706
13,929,0.000660
14,753,0.000860
15,585,0.001052
16,744,0.000817
17,573,0.001246
18,678,0.000711
19,546,0.001019
20,1131,0.000528
21,1115,0.000562
22,939,0.000566
23,888,0.000638
24,976,0.000566
25,833,0.000627
26,926,0.000672
27,747,0.000726
28,786,0.000680
29,953,0.000730
30,841,0.000635
31,775,0.000678
32,786,0.000868
33,497,0.001194
34,434,0.001687
35,192,0.002604
36,323,0.001623
37,270,0.002240
38,80,0.007548
39,83,0.007823
40,444,0.001817
41,284,0.002012
42,393,0.001255
43,502,0.001016
44,178,0.002571
45,152,0.003825
46,75,0.009892
47,136,0.002820
48,778,0.000724
49,663,0.000918
50,523,0.000982
51,522,0.001288
52,540,0.001140
53,410,0.001512
54,353,0.001668
55,300,0.002709
56,247,0.002151
57,171,0.002910
58,115,0.004877
59,42,0.009648
60,202,0.003770
61,98,0.006180
62,206,0.002887
63,138,0.008044
64,852,0.000707
65,1045,0.000649
66,672,0.000750
67,564,0.001037
68,685,0.000822
69,701,0.000829
70,434,0.001163
71,616,0.000959
72,730,0.000782
73,610,0.000902
74,830,0.000943
75,614,0.001251
76,525,0.001405
77,387,0.001580
78,363,0.001510
79,238,0.002343
80,400,0.001786
81,244,0.002154
82,453,0.001799
83,311,0.001784
84,228,0.002706
85,194,0.002934
86,82,0.006334
87,55,0.009074
88,264,0.002136
89,151,0.003248
90,219,0.002295
91,168,0.004034
92,189,0.003551
93,65,0.005076
94,157,0.003673
95,63,0.006392
96,789,0.000795
97,835,0.000817
98,754,0.000926
99,562,0.001101
100,664,0.001028
101,516,0.001046
102,542,0.001469
103,380,0.001557
104,307,0.002920
105,542,0.001276
106,523,0.001424
107,556,0.001236
108,257,0.003332
109,478,0.001691
110,369,0.002459
111,225,0.002558
112,536,0.001249
113,474,0.001427
114,425,0.001570
115,320,0.002271
116,378,0.002160
117,224,0.003162
118,310,0.002260
119,170,0.004997
120,444,0.001444
121,390,0.001791
122,460,0.001717
123,295,0.002375
124,202,0.002353
125,120,0.005536
126,186,0.002770
127,159,0.003665
128,138,0.006420
129,34,0.019159
130,375,0.001883
131,269,0.002480
132,539,0.001060
133,680,0.000920
134,458,0.001378
135,328,0.001699
136,452,0.001799
137,293,0.003493
138,169,0.003570
139,164,0.004635
140,201,0.005984
141,126,0.011686
142,78,0.012222
143,62,0.027123
144,578,0.001314
145,464,0.001572
146,291,0.002338
147,132,0.004322
148,332,0.002813
149,210,0.004879
150,185,0.003791
151,73,0.015171
152,598,0.001083
153,458,0.001952
154,214,0.003026
155,79,0.012412
156,316,0.002942
157,208,0.004669
158,150,0.006113
159,88,0.011789
160,407,0.001735
161,730,0.000872
162,872,0.001077
163,1177,0.000605
164,991,0.000731
165,960,0.000908
166,1512,0.000516
167,1230,0.000603
168,1796,0.000394
169,1980,0.000343
170,2521,0.000246
171,2708,0.000278
172,1576,0.000418
173,1408,0.000586
174,778,0.001001
175,423,0.001719
176,1295,0.000559
177,2326,0.000286
178,2407,0.000256
179,3739,0.000183
180,3235,0.000198
181,3910,0.000168
182,3289,0.000193
183,2273,0.000257
184,1604,0.000426
185,596,0.001089
186,1174,0.000502
187,736,0.000993
188,322,0.001812
189,213,0.003426
190,166,0.003613
191,52,0.008884
192,244,0.002079
193,824,0.000808
194,1272,0.000539
195,1588,0.000414
196,644,0.001008
197,1344,0.000450
198,1948,0.000351
199,2022,0.000357
200,123,0.006925
201,162,0.005056
202,498,0.001386
203,871,0.000679
204,1224,0.000568
205,1542,0.000370
206,2363,0.000277
207,2313,0.000301
208,981,0.000462
209,1243,0.000353
210,2306,0.000282
211,2969,0.000174
212,3596,0.000186
213,4483,0.000159
214,4401,0.000169
215,3863,0.000153
216,3646,0.000156
217,3170,0.000241
218,3402,0.000240
219,1825,0.000399
220,3329,0.000173
221,2140,0.000253
222,1719,0.000380
223,1434,0.000531
224,2238,0.000264
225,2339,0.000259
226,3444,0.000189
227,3440,0.000179
228,4220,0.000182
229,2832,0.000207
230,3576,0.000170
231,2784,0.000209
232,3191,0.000193
233,2381,0.000244
234,2147,0.000268
235,1490,0.000405
236,2556,0.000227
237,2675,0.000219
238,1977,0.000276
239,1116,0.000611
240,2787,0.000227
241,2892,0.000169
242,3010,0.000145
243,3585,0.000189
244,2367,0.000254
245,3144,0.000199
246,2935,0.000202
247,2839,0.000192
248,3009,0.000223
249,2451,0.000282
250,1669,0.000393
251,1390,0.000503
252,2322,0.000256
253,1840,0.000309
254,1793,0.000358
255,1195,0.000493
