index,cardinality,distortion
0,508,0.099361
1,883,0.109201
2,428,0.186533
3,296,0.238003
4,261,0.271183
5,1013,0.114160
6,186,0.315196
7,246,0.333793
8,278,0.181406
9,309,0.269168
10,622,0.202405
11,538,0.218891
12,415,0.187109
13,347,0.223030
14,287,0.229549
15,318,0.244553
16,212,0.367640
17,279,0.286126
18,122,0.307161
19,153,0.318449
20,125,0.290701
21,76,0.341658
22,50,0.322901
23,106,0.318722
24,187,0.170611
25,94,0.167042
26,66,0.155761
27,72,0.207956
28,69,0.243740
29,84,0.202603
30,138,0.231935
31,96,0.213504
32,2230,0.059224
33,3162,0.052944
34,3684,0.050231
35,3071,0.061258
36,2754,0.057464
37,1998,0.070190
38,661,0.117277
39,202,0.321038
40,989,0.072860
41,747,0.102018
42,2488,0.056208
43,1904,0.064601
44,854,0.093389
45,646,0.123820
46,791,0.092126
47,478,0.148068
48,97,0.190118
49,122,0.201242
50,132,0.206746
51,169,0.289219
52,434,0.142630
53,142,0.382773
54,178,0.316722
55,261,0.234902
56,90,0.324678
57,91,0.259692
58,25,0.172001
59,101,0.280158
60,589,0.118907
61,129,0.325740
62,109,0.204144
63,73,0.238118
