# 38265 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,7,0.329847,1.669760,85563.055636
4,19,0.258477,3.662945,67812.819378
8,26,0.198647,7.851806,58449.267547
16,32,0.157429,11.032102,52835.579481
32,16,0.130626,15.396460,49804.951420
64,17,0.110648,20.375099,47672.295169
128,17,0.096532,24.747489,46300.641095
256,16,0.084483,30.756691,45173.663627
512,15,0.074696,36.942795,44299.052234
1024,14,0.065547,43.420272,43505.964302
2048,12,0.056605,51.227322,42754.019571
