# data/codebooks/_/eps_0.0005_M_0256.cbook:
# P=36  size=256  className='_'
k1,k2
-0.714315,-0.062518
-0.557193,0.0379648
-0.670505,0.0148703
-0.660018,0.0717069
-0.416614,0.133491
-0.561401,0.0153448
-0.508363,0.155854
-0.604732,0.0422889
-0.798861,-0.0197178
-0.63852,0.0882975
-0.750788,0.279014
-0.764723,0.288435
-0.82942,0.18597
-0.736124,0.122369
-0.730922,0.303749
-0.765575,0.447497
-0.766209,-0.0144811
-0.687632,0.0526348
-0.803319,0.140014
-0.669478,0.11955
-0.346656,0.176274
-0.280172,0.230941
-0.366123,0.178978
-0.412253,0.187277
-0.625266,0.205864
-0.615474,0.193108
-0.554198,0.265742
-0.625679,0.46757
-0.500515,0.270196
-0.544425,0.289729
-0.629505,0.242799
-0.602357,0.373081
-0.8301,0.139577
-0.834327,0.328773
-0.714359,0.00987079
-0.69153,0.0815445
-0.804568,0.406633
-0.773335,0.479296
-0.680639,0.51172
-0.717621,0.48361
-0.651522,0.341984
-0.60655,0.416297
-0.656366,0.410853
-0.642068,0.552829
-0.52757,0.38431
-0.645734,0.287223
-0.475093,0.388155
-0.626688,0.332402
-0.731713,0.227342
-0.743954,0.314276
-0.704532,0.474444
-0.778636,0.320873
-0.527246,0.445386
-0.55823,0.51636
-0.514399,0.473063
-0.580731,0.407007
-0.768201,0.213465
-0.732722,0.503032
-0.767508,0.549906
-0.732292,0.489621
-0.602532,0.312735
-0.65413,0.416834
-0.642373,0.473201
-0.697068,0.471261
-0.773268,0.255356
-0.76894,0.263405
-0.827443,0.0963071
-0.775705,0.300469
-0.533005,0.260289
-0.532138,0.395957
-0.51479,0.568452
-0.474267,0.639923
-0.533814,0.306515
-0.480728,0.428463
-0.603062,0.328347
-0.67245,0.291796
-0.707975,0.393704
-0.649159,0.337662
-0.472676,0.468475
-0.56301,0.377375
-0.521559,0.210588
-0.403722,0.326428
-0.666337,0.379203
-0.692367,0.577156
-0.685011,0.367905
-0.673806,0.614505
-0.649472,0.641379
-0.568397,0.363431
-0.593934,0.408922
-0.533108,0.473922
-0.746628,0.377766
-0.583462,0.494783
-0.657956,0.487009
-0.468588,0.5829
-0.483254,0.283128
-0.522539,0.226074
-0.499589,0.29773
-0.497653,0.426969
-0.45023,0.413056
-0.580821,0.365005
-0.554531,0.497977
-0.489208,0.396628
-0.489944,0.376197
-0.395049,0.353073
-0.588932,0.522822
-0.63329,0.692619
-0.556767,0.60626
-0.669478,0.811423
-0.5156,0.353959
