index,cardinality,distortion
0,250,0.082521
1,271,0.092988
2,461,0.085604
3,446,0.105262
4,197,0.148510
5,266,0.169425
6,153,0.177869
7,154,0.210828
8,113,0.214998
9,142,0.274121
10,430,0.092917
11,428,0.111571
12,90,0.301687
13,100,0.290529
14,102,0.345740
15,99,0.262398
16,158,0.169489
17,179,0.118223
18,119,0.209945
19,150,0.234935
20,297,0.175730
21,262,0.206347
22,268,0.187059
23,243,0.198213
24,219,0.148834
25,196,0.176730
26,119,0.163622
27,153,0.231841
28,151,0.179031
29,131,0.182214
30,228,0.186691
31,137,0.236487
32,103,0.344326
33,102,0.269729
34,153,0.198791
35,76,0.300153
36,111,0.223461
37,71,0.254171
38,87,0.241681
39,113,0.274268
40,101,0.175380
41,34,0.308101
42,40,0.197052
43,39,0.244989
44,25,0.211201
45,22,0.221731
46,21,0.326961
47,110,0.184100
48,84,0.144920
49,80,0.113178
50,60,0.117289
51,56,0.147921
52,44,0.145379
53,54,0.125957
54,14,0.107263
55,42,0.167892
56,33,0.197185
57,29,0.188321
58,36,0.157093
59,50,0.164503
60,85,0.160364
61,49,0.265373
62,62,0.179196
63,37,0.175805
64,1063,0.053793
65,1061,0.059983
66,1952,0.049196
67,1764,0.049838
68,2319,0.046928
69,1370,0.052839
70,1713,0.056673
71,250,0.114457
72,1318,0.054575
73,1564,0.052248
74,1464,0.055722
75,456,0.090894
76,322,0.088150
77,224,0.164159
78,100,0.243939
79,64,0.302036
80,434,0.069103
81,920,0.059316
82,395,0.102287
83,330,0.096310
84,1723,0.049302
85,1198,0.054231
86,990,0.059224
87,790,0.065632
88,492,0.076860
89,507,0.093074
90,391,0.091501
91,165,0.184629
92,466,0.079934
93,392,0.089252
94,278,0.146013
95,182,0.153485
96,48,0.156868
97,65,0.151343
98,66,0.139884
99,67,0.184802
100,58,0.157408
101,75,0.176654
102,108,0.221721
103,35,0.456866
104,200,0.122156
105,342,0.089356
106,155,0.177033
107,65,0.329786
108,43,0.261160
109,93,0.197382
110,165,0.140100
111,96,0.195450
112,53,0.241907
113,46,0.347660
114,54,0.230421
115,42,0.171186
116,8,0.130804
117,13,0.130453
118,53,0.272256
119,48,0.186915
120,293,0.094060
121,280,0.106550
122,52,0.217055
123,72,0.257156
124,47,0.195084
125,54,0.149020
126,44,0.162739
127,33,0.208022
