index,cardinality,distortion
354,5,0.081701
355,4,0.072013
356,2,0.044293
357,4,0.040338
358,4,0.054181
359,3,0.053641
360,3,0.077188
361,0,NaN
362,1,0.000000
363,4,0.126971
364,2,0.045445
365,3,0.067552
366,4,0.057223
367,4,0.062018
368,3,0.088653
369,3,0.035436
370,2,0.066488
371,3,0.064825
372,5,0.142083
373,3,0.130685
374,4,0.102223
375,2,0.070012
376,5,0.070298
377,15,0.072006
378,18,0.066078
379,12,0.115969
380,33,0.066776
381,25,0.110558
382,12,0.173471
383,6,0.154023
384,17,0.093732
385,14,0.082197
386,4,0.056998
387,8,0.062915
388,6,0.089809
389,13,0.083203
390,12,0.055809
391,12,0.077911
392,6,0.054938
393,16,0.074257
394,10,0.084076
395,8,0.057061
396,16,0.083251
397,17,0.068563
398,6,0.081262
399,12,0.079486
400,8,0.074057
401,13,0.063683
402,8,0.058884
403,6,0.030901
404,8,0.069409
405,8,0.069817
406,9,0.079720
407,8,0.063553
408,2,0.012174
409,4,0.037528
410,5,0.036261
411,7,0.064815
412,7,0.075794
413,5,0.059538
414,11,0.074772
415,5,0.054024
416,12,0.090215
417,10,0.074975
418,5,0.060949
419,3,0.024213
420,6,0.083608
421,4,0.079545
422,4,0.068504
423,1,-0.000000
424,10,0.075490
425,8,0.055003
426,8,0.075618
427,11,0.078304
428,7,0.076606
429,7,0.067891
430,0,NaN
431,1,-0.000000
432,1,-0.000000
433,1,-0.000000
434,3,0.032242
435,3,0.020651
436,2,0.079177
437,3,0.065191
438,2,0.018154
439,2,0.012716
440,2,0.026419
441,0,NaN
442,12,0.097696
443,7,0.092647
444,3,0.046836
445,8,0.095735
446,6,0.104256
447,4,0.112992
448,4,0.047774
449,2,0.016408
450,3,0.059509
451,5,0.084293
452,15,0.094002
453,4,0.044708
454,4,0.109860
455,6,0.160687
456,4,0.049969
457,5,0.049496
458,4,0.109753
459,4,0.051552
460,3,0.071604
461,4,0.044683
462,3,0.065817
463,2,0.026925
464,5,0.108639
465,3,0.047558
466,4,0.105663
467,3,0.067232
468,4,0.065778
469,5,0.054515
470,5,0.072787
471,9,0.097592
472,5,0.086967
473,13,0.083786
474,6,0.068614
475,7,0.101444
476,6,0.089106
477,13,0.091232
478,8,0.088683
479,5,0.117177
480,21,0.065593
481,14,0.085169
482,66,0.057212
483,22,0.076461
484,8,0.070016
485,2,0.031537
486,2,0.055509
487,7,0.117054
488,7,0.069803
489,3,0.078005
490,9,0.067579
491,7,0.067997
492,8,0.146962
493,7,0.104542
494,8,0.156306
495,11,0.207803
496,9,0.087282
497,4,0.074263
498,8,0.101214
499,8,0.075867
500,9,0.082735
501,11,0.079044
502,7,0.069277
503,3,0.029273
504,2,0.017823
505,7,0.078457
506,8,0.058917
507,4,0.084128
508,3,0.047938
509,11,0.094867
510,13,0.103670
511,5,0.111824
512,103,0.046192
513,141,0.048616
514,190,0.044181
515,166,0.046615
516,146,0.045662
517,198,0.041911
518,151,0.043367
519,152,0.045581
520,86,0.052872
521,132,0.052605
522,111,0.049176
523,116,0.052154
524,147,0.049802
525,175,0.048256
526,177,0.048837
527,180,0.048478
528,168,0.042940
529,174,0.041894
530,195,0.042910
531,183,0.042686
532,198,0.042727
533,207,0.042214
534,191,0.042788
535,185,0.045752
536,221,0.041986
537,221,0.042767
538,197,0.044364
539,179,0.045572
540,207,0.040408
541,190,0.042476
542,202,0.041302
543,148,0.046749
544,201,0.041047
545,238,0.042742
546,248,0.039977
547,247,0.041183
548,248,0.041139
549,254,0.041778
550,250,0.040904
551,206,0.042385
552,141,0.046847
553,137,0.046175
554,158,0.046574
555,140,0.049096
