# data/codebooks/_/eps_0.0005_M_1024.cbook:
# P=36  size=1024  className='_'
k1,k2,k3
-0.689242,0.260688,-0.268813
-0.635674,0.274226,-0.264934
-0.651039,0.350053,-0.244538
-0.485308,0.413803,-0.164606
-0.484248,0.491094,-0.126507
-0.479708,0.412516,-0.206102
-0.388089,0.357203,-0.103441
-0.571028,0.301195,-0.225735
-0.570514,0.333657,-0.277849
-0.605723,0.359396,-0.252277
-0.637357,0.404684,-0.290377
-0.719624,0.128646,-0.174672
-0.742195,0.222755,-0.142988
-0.687147,0.23223,-0.137362
-0.707554,0.292556,-0.0692027
-0.733659,0.347602,-0.122819
-0.768378,0.368075,-0.10364
-0.69524,0.298018,-0.16369
-0.780754,0.370728,-0.104569
-0.717911,0.427208,-0.227786
-0.667936,0.432573,-0.246488
-0.750852,0.569355,-0.0432952
-0.743135,0.555274,-0.148815
-0.732027,0.180762,-0.100426
-0.840129,0.366474,-0.0391691
-0.750166,0.341173,-0.111211
-0.758908,0.31832,-0.124233
-0.57183,0.459555,-0.0278566
-0.592564,0.552664,-0.0130513
-0.451464,0.392457,0.0342445
-0.475679,0.386195,-0.0444522
-0.510168,0.492904,-0.0493038
-0.555505,0.50553,-0.0684554
-0.534447,0.456884,-0.0584393
-0.578289,0.593502,-0.100827
-0.496115,0.363206,-0.201096
-0.529392,0.343638,-0.217578
-0.534643,0.506215,-0.251468
-0.489831,0.507232,-0.253136
-0.54475,0.464478,-0.189443
-0.685809,0.44313,-0.261573
-0.555017,0.344802,-0.14595
-0.545757,0.416001,-0.219134
-0.781175,0.14069,-0.253535
-0.731489,0.140639,-0.257514
-0.81515,0.217149,-0.235528
-0.808056,0.360337,-0.180836
-0.710481,0.397766,-0.0940519
-0.683977,0.405488,-0.103236
-0.726624,0.580457,-0.0644593
-0.764088,0.598154,-0.123907
-0.764626,0.313974,-0.127067
-0.786027,0.5557,0.0568215
-0.72185,0.587171,0.125244
-0.785273,0.568774,0.0332881
-0.634014,0.380831,0.0377075
-0.745555,0.558677,0.090727
-0.726097,0.482887,0.0775762
-0.740532,0.587841,0.0969777
-0.547563,0.264458,-0.152243
-0.580294,0.285912,-0.223479
-0.624499,0.46382,-0.209614
-0.587517,0.530559,-0.135241
-0.52052,0.344177,-0.162975
-0.625272,0.41389,-0.0841831
-0.654043,0.349846,-0.165693
-0.693734,0.442346,-0.0230668
-0.609655,0.458195,-0.072357
-0.599016,0.470765,-0.0124501
-0.646201,0.564986,-0.0154756
-0.689922,0.534957,-0.046676
-0.681357,0.310979,-0.186331
-0.738076,0.377305,-0.171131
-0.640601,0.478406,-0.0707754
-0.64211,0.540787,-0.187538
-0.803305,0.398238,-0.0383124
-0.797795,0.292178,-0.194088
-0.72647,0.287226,-0.156405
-0.762787,0.275402,-0.220837
-0.798088,0.143882,-0.261493
-0.785146,0.2783,-0.249227
-0.643999,0.270781,-0.193755
-0.730156,0.294722,-0.16858
-0.835741,0.267116,-0.347744
-0.8188,0.165478,-0.271897
-0.884273,0.1405,-0.315915
-0.830334,0.0685597,-0.254109
-0.709507,0.351758,-0.085177
-0.699775,0.32456,-0.282445
-0.807805,0.343068,-0.205823
-0.759564,0.301391,-0.0907284
-0.584284,0.20967,-0.137354
-0.474406,0.174095,-0.224978
-0.525058,0.354,-0.0205203
-0.504102,0.405209,0.0391945
-0.53452,0.326072,-0.0364173
-0.48626,0.442903,0.038968
-0.424147,0.48261,-0.0473721
-0.503029,0.478566,-0.108795
-0.459312,0.477002,0.0280502
-0.611537,0.534357,-0.184375
-0.43102,0.633879,0.0667548
-0.564053,0.616377,-0.109046
-0.446225,0.654279,0.0444527
-0.496385,0.640227,0.0808279
-0.418242,0.576864,-0.00385952
-0.51227,0.716266,0.041601
-0.424312,0.181283,-0.221659
-0.478582,0.293596,-0.0908198
-0.561113,0.504304,0.0506883
-0.559793,0.425046,0.0475182
-0.566262,0.181846,-0.17701
-0.479044,0.355146,-0.0610197
-0.450975,0.502258,-0.0345882
-0.520743,0.559101,-0.0857822
-0.287838,0.460295,-0.474396
-0.805459,0.3796,0.0205108
-0.573755,0.353813,0.0214961
-0.308284,0.397263,-0.132944
-0.631007,0.390896,0.030812
-0.780998,0.332722,0.0247353
-0.183332,0.363214,-0.169174
-0.60785,0.363732,-0.0896289
-0.547068,0.296134,0.00613481
-0.539259,0.355122,0.230037
-0.690268,0.376345,-0.00591057
-0.755688,0.480595,0.0864652
-0.610552,0.4362,-0.0101812
-0.622901,0.455311,-0.0730259
-0.597634,0.232459,-0.260237
-0.719596,0.402489,-0.0904627
-0.542119,0.512373,-0.0222851
-0.468922,0.316283,-0.178457
-0.448348,0.473244,0.120244
-0.441235,0.561003,0.0553502
-0.41264,0.476906,-0.0207172
-0.444155,0.508245,0.0583662
-0.658341,0.2622,-0.266021
-0.621244,0.340499,-0.206377
-0.458274,0.285336,-0.0576632
-0.482504,0.25964,-0.068785
-0.620614,0.192737,-0.118698
-0.723342,0.163688,-0.22994
-0.344521,0.313428,-0.0389935
-0.34347,0.318571,-0.0503781
-0.49866,0.265183,-0.0540464
-0.490739,0.367159,-0.0340419
-0.653618,0.337657,-0.161045
-0.646187,0.187145,-0.189106
-0.611144,0.554983,0.248945
-0.676299,0.634845,0.208151
-0.831552,0.607325,0.0248364
-0.756443,0.44181,-0.122954
-0.531077,0.559838,0.0051784
-0.588738,0.206531,-0.18439
-0.702439,0.410293,-0.0735978
-0.657908,0.528547,-0.00474391
-0.740331,0.213352,-0.129399
-0.617709,0.331092,-0.144668
-0.546575,0.479155,-0.165461
-0.707745,0.720859,0.0791612
-0.752379,0.81145,0.200697
-0.582424,0.417242,-0.203309
-0.697483,0.501038,0.0129284
-0.706705,0.587849,0.0436363
-0.645805,0.646517,0.0552843
-0.638029,0.748642,0.125702
-0.56544,0.118101,-0.141954
-0.439735,0.278273,-0.207469
-0.585747,0.510461,-0.00853372
-0.589312,0.503538,-0.223202
-0.503664,0.44805,-0.125916
-0.537415,0.444392,-0.0612577
-0.523947,0.462443,-0.170334
-0.547568,0.368203,-0.0745166
-0.39227,0.378278,-0.219625
-0.529287,0.512844,-0.0134824
-0.593641,0.474241,0.0347002
-0.498274,0.530103,-0.0197607
-0.822833,0.39805,0.0367395
-0.771598,0.413433,-0.0291154
-0.685005,0.423746,-0.0579233
-0.667095,0.361577,-0.0168203
-0.513206,0.48698,-0.18753
-0.57775,0.537188,-0.118791
-0.566166,0.485141,-0.0238639
-0.64039,0.472167,-0.0499098
-0.65034,0.528412,-0.0742263
-0.708411,0.526021,-0.0957101
-0.578116,0.430186,-0.240173
-0.528592,0.449726,-0.208198
-0.426864,0.694905,-0.128492
-0.507801,0.515704,-0.27151
-0.472451,0.51752,-0.0290952
-0.549505,0.235008,0.0295383
-0.55692,0.33494,-0.0275759
-0.496313,0.312845,-0.0459583
-0.503003,0.271481,-0.08239
-0.448348,0.256941,-0.120837
-0.327463,0.213063,-0.20641
-0.573817,0.177449,-0.159999
-0.574556,0.310944,-0.236096
-0.583059,0.398581,0.00733415
-0.485296,0.320739,-0.0308301
-0.408783,0.201263,-0.124811
