index,cardinality,distortion
0,134,0.070932
1,184,0.077081
2,133,0.085430
3,154,0.092082
4,220,0.073152
5,228,0.080359
6,168,0.098544
7,174,0.082847
8,78,0.114746
9,200,0.117419
10,150,0.141805
11,142,0.149742
12,55,0.165345
13,94,0.136729
14,91,0.180029
15,78,0.194027
16,61,0.171963
17,41,0.236659
18,62,0.232653
19,88,0.217859
20,201,0.092967
21,240,0.076397
22,177,0.096822
23,161,0.105595
24,47,0.249267
25,19,0.272911
26,59,0.260441
27,63,0.248401
28,44,0.344784
29,50,0.297003
30,65,0.215189
31,47,0.253676
32,84,0.140542
33,57,0.140482
34,89,0.092637
35,100,0.117034
36,60,0.170973
37,50,0.165546
38,50,0.180060
39,94,0.195947
40,128,0.166854
41,113,0.182371
42,137,0.163473
43,57,0.217974
44,118,0.167540
45,114,0.155898
46,95,0.174359
47,124,0.181196
48,103,0.137438
49,109,0.127280
50,116,0.167027
51,110,0.148802
52,63,0.146587
53,67,0.159280
54,47,0.209211
55,70,0.196840
56,90,0.155321
57,82,0.150170
58,51,0.121701
59,84,0.165263
60,181,0.143502
61,99,0.169652
62,102,0.153040
63,62,0.227408
64,54,0.223729
65,56,0.239768
66,44,0.184451
67,50,0.254191
68,56,0.135464
69,70,0.192528
70,41,0.214563
71,38,0.200283
72,75,0.163253
73,36,0.245904
74,23,0.244137
75,38,0.200370
76,31,0.210744
77,53,0.193803
78,45,0.200504
79,64,0.244696
80,45,0.161996
81,62,0.133105
82,26,0.243696
83,11,0.295631
84,23,0.139418
85,22,0.160503
86,26,0.150631
87,13,0.369099
88,15,0.134047
89,12,0.113006
90,5,0.219049
91,15,0.115293
92,10,0.116241
93,14,0.236255
94,55,0.114804
95,62,0.156465
96,39,0.130818
97,44,0.114520
98,36,0.098897
99,51,0.106903
100,36,0.093783
101,28,0.102019
102,19,0.081288
103,34,0.125181
104,28,0.118706
105,19,0.128376
106,26,0.090357
107,22,0.100053
108,7,0.090967
109,7,0.091404
110,21,0.113674
111,20,0.142393
112,12,0.102939
113,24,0.161845
114,17,0.110715
115,12,0.124094
116,12,0.127874
117,23,0.121510
118,34,0.121043
119,28,0.150945
120,94,0.097425
121,17,0.145424
122,24,0.111373
123,31,0.264993
124,28,0.140636
125,31,0.122739
126,18,0.122000
127,32,0.154104
128,456,0.050480
129,621,0.048071
130,454,0.058970
131,658,0.054276
132,800,0.047203
133,875,0.046873
134,860,0.047901
135,896,0.046449
136,1077,0.044419
137,1092,0.045695
138,541,0.053185
139,719,0.049064
140,852,0.049658
141,347,0.072512
142,543,0.057979
143,32,0.198524
144,837,0.048602
145,446,0.062625
146,750,0.048706
147,757,0.049218
148,778,0.051364
149,775,0.055519
150,95,0.096240
151,137,0.103987
152,408,0.056736
153,100,0.093378
154,86,0.134636
155,66,0.205220
156,63,0.158270
157,28,0.208264
158,22,0.196848
159,37,0.167163
160,212,0.063983
161,247,0.066444
162,490,0.056591
163,500,0.055083
164,206,0.069213
165,180,0.108173
166,381,0.065012
167,148,0.093467
168,806,0.046991
169,870,0.046127
170,764,0.047867
171,533,0.054117
172,498,0.056148
173,582,0.059055
174,656,0.052765
175,265,0.075835
176,249,0.076101
177,320,0.069411
178,203,0.083777
179,220,0.092291
180,243,0.072645
181,148,0.105807
182,66,0.165369
183,68,0.176708
184,239,0.071637
185,267,0.075204
186,267,0.078208
187,147,0.090255
188,148,0.121973
189,143,0.146177
190,103,0.130610
191,73,0.158340
192,23,0.109319
193,43,0.126096
194,20,0.120466
195,27,0.118893
196,37,0.106676
197,39,0.142482
198,45,0.123525
199,66,0.125101
200,30,0.124398
201,24,0.160526
202,46,0.120472
203,29,0.131322
204,50,0.132441
205,32,0.177676
206,12,0.233065
207,33,0.218735
208,147,0.097451
209,162,0.082397
210,156,0.075395
211,196,0.071443
212,87,0.094942
213,47,0.187929
214,27,0.270801
215,55,0.231930
216,17,0.191595
217,28,0.200311
218,37,0.178487
219,57,0.170564
220,97,0.114175
221,93,0.120921
222,34,0.222892
223,62,0.163069
224,70,0.150591
225,21,0.224042
226,26,0.288966
227,35,0.217576
228,20,0.168820
229,35,0.204902
230,18,0.120307
231,24,0.125145
232,5,0.092492
233,5,0.086199
234,6,0.047469
235,8,0.134675
236,20,0.178541
237,21,0.145991
238,28,0.181926
239,26,0.162126
240,137,0.079517
241,167,0.083256
242,171,0.085371
243,133,0.099603
244,35,0.160940
245,29,0.200342
246,22,0.223721
247,33,0.227445
248,29,0.134054
249,12,0.125125
250,27,0.139466
251,36,0.126507
252,21,0.132168
253,24,0.147630
254,21,0.121592
255,14,0.149235
