# data/codebooks/_/eps_0.0005_M_0064.cbook:
# P=36  size=64  className='_'
k1,k2
-0.630362,0.00108042
-0.549191,0.0808474
-0.77003,0.164062
-0.765403,0.246689
-0.716233,0.0476722
-0.326315,0.20343
-0.59308,0.251697
-0.584742,0.313885
-0.81363,0.130689
-0.746058,0.487346
-0.641373,0.361612
-0.597213,0.349752
-0.738818,0.342175
-0.560711,0.442961
-0.710112,0.427817
-0.700723,0.43937
-0.769593,0.257372
-0.514231,0.400234
-0.597274,0.297318
-0.655861,0.362785
-0.592257,0.410531
-0.660168,0.533158
-0.60195,0.427913
-0.546596,0.388207
-0.529857,0.417246
-0.477055,0.389719
-0.592705,0.619506
-0.66711,0.698358
-0.788153,0.36144
-0.530813,0.250292
-0.411608,0.320584
-0.433462,0.294856
-0.182227,0.310869
-0.139527,0.334683
-0.154395,0.323673
-0.129799,0.339492
-0.22078,0.289174
-0.26096,0.313463
-0.333472,0.266376
-0.485592,0.457177
-0.230795,0.262566
-0.354301,0.229524
-0.167393,0.309121
-0.235528,0.275314
-0.321922,0.241721
-0.394819,0.240054
-0.42717,0.134009
-0.629925,0.136159
-0.633308,0.289549
-0.526889,0.511093
-0.544222,0.402303
-0.523041,0.386711
-0.396035,0.166792
-0.43267,0.372368
-0.635865,0.242906
-0.610837,0.474716
-0.46579,0.39769
-0.504417,0.535735
-0.458093,0.623953
-0.557697,0.516259
-0.330686,0.286038
-0.527259,0.474597
-0.626215,0.637228
-0.585958,0.561659

