# data/codebooks/_/eps_0.0005_M_0512.cbook:
# P=36  size=512  className='_'
k1,k2
-0.121837,0.350705
-0.121586,0.382453
0.00521171,0.38542
-0.0831421,0.583209
-0.187437,0.283491
-0.193195,0.294777
-0.209587,0.311154
-0.265983,0.299227
-0.164017,0.299753
-0.191984,0.301719
-0.207105,0.282778
-0.245695,0.292611
-0.2163,0.318303
-0.208041,0.302794
-0.261836,0.304097
-0.284745,0.321114
-0.27042,0.427556
-0.244408,0.40538
-0.299224,0.309657
-0.372078,0.36799
-0.181067,0.310825
-0.263126,0.290797
-0.323172,0.240658
-0.372759,0.306129
-0.372705,0.325526
-0.452412,0.261036
-0.480072,0.290985
-0.448541,0.350375
-0.43822,0.354547
-0.376883,0.459529
-0.571415,0.512177
-0.447115,0.471726
-0.574606,0.529434
-0.605178,0.516889
-0.572918,0.505207
-0.53624,0.52606
-0.25967,0.26245
-0.197911,0.276026
-0.261678,0.212444
-0.281367,0.235558
-0.167953,0.308284
-0.156633,0.342982
-0.199727,0.273436
-0.253499,0.240445
-0.28799,0.242297
-0.292501,0.254628
-0.393498,0.256698
-0.377181,0.304603
-0.220757,0.281957
-0.342022,0.240849
-0.433467,0.152315
-0.399775,0.168193
-0.138188,0.321471
-0.156357,0.333327
-0.159764,0.321533
-0.149566,0.331171
-0.130912,0.323188
-0.160573,0.329732
-0.178918,0.289115
-0.194036,0.291092
-0.194998,0.295268
-0.224332,0.295482
-0.188348,0.287986
-0.244454,0.275895
-0.240389,0.268157
-0.270785,0.277456
-0.327356,0.229903
-0.39094,0.252498
-0.353366,0.198701
-0.298507,0.252974
-0.269247,0.254699
-0.330616,0.216268
-0.348332,0.244711
-0.365071,0.250364
-0.356559,0.284209
-0.466268,0.26159
-0.322827,0.211782
-0.340007,0.250063
-0.319967,0.239472
-0.473917,0.17749
-0.535344,0.326965
-0.606023,0.302233
-0.48636,0.407549
-0.572633,0.473023
-0.329427,0.216719
-0.372278,0.197556
-0.327916,0.141908
-0.348692,0.191772
-0.474942,0.0970752
-0.43204,0.158709
-0.611077,0.0556271
-0.575616,0.159863
-0.522654,0.234179
-0.565331,0.2356
-0.570943,0.253352
-0.617867,0.327876
-0.586062,0.120337
-0.746471,0.0912362
-0.711322,0.231753
-0.751318,0.295749
-0.738171,0.115701
-0.774813,0.251994
-0.489806,0.37193
-0.613212,0.31363
-0.714296,0.316812
-0.440617,0.463619
-0.643874,0.338232
-0.490685,0.404217
-0.54914,0.522828
-0.562263,0.627003
-0.521908,0.576124
-0.405371,0.432197
-0.571447,0.129958
-0.422436,0.331289
-0.485259,0.395772
-0.337146,0.419256
-0.581527,0.488325
-0.543744,0.461201
-0.476583,0.359148
-0.38754,0.267837
-0.576445,0.450631
-0.548784,0.429119
-0.579075,0.483716
-0.561386,0.524049
-0.708277,0.0742763
-0.511506,0.181321
-0.608849,0.553893
-0.34802,0.363286
-0.598527,0.439033
-0.567924,0.368285
-0.529731,0.242796
-0.401215,0.454471
-0.494177,0.0825913
-0.336741,0.181013
-0.428987,0.11589
-0.319902,0.180615
-0.256521,0.241145
-0.290888,0.211949
-0.239077,0.257387
-0.324539,0.217324
-0.30246,0.242348
-0.390528,0.296952
-0.507975,0.421394
-0.44707,0.428485
-0.276098,0.38017
-0.419344,0.410502
-0.391528,0.403792
-0.403319,0.483165
-0.684771,0.299287
-0.825297,0.425147
-0.658724,0.142365
-0.777984,0.344095
-0.672395,0.119546
-0.533489,0.201063
-0.53603,0.179087
-0.654437,0.343265
-0.627373,0.0908279
-0.579153,0.268983
-0.647133,0.455097
-0.719171,0.449451
-0.45025,0.466865
-0.476776,0.506818
-0.587405,0.591423
-0.576311,0.63839
-0.450943,0.25971
-0.500815,0.305536
-0.570638,0.368522
-0.395068,0.498582
-0.148309,0.392437
-0.441431,0.525816
-0.4699,0.304705
-0.496416,0.421828
-0.620696,0.407209
-0.625131,0.71006
-0.550891,0.646012
-0.600115,0.662681
-0.317889,0.440342
-0.459487,0.465563
-0.396216,0.444989
-0.376979,0.504241
-0.340239,0.703753
-0.470967,0.643356
-0.339526,0.347676
-0.430939,0.658956
-0.351585,0.720695
-0.352349,0.715871
-0.461067,0.476032
-0.512932,0.403733
-0.646451,0.718569
-0.569346,0.524501
-0.674317,0.469027
-0.596175,0.475301
-0.569969,0.627551
-0.528271,0.52044
-0.450635,0.481687
-0.557351,0.615296
-0.330512,0.240525
-0.272807,0.261363
-0.278518,0.324921
-0.358721,0.273624
-0.253406,0.327325
-0.368077,0.385367
-0.302776,0.247435
-0.395022,0.306303
-0.523623,0.116565
-0.722897,0.268583
